Jefferies,Wilfred,Full,Secondary,Secondary,Primary,,Secondary,1,,,,,,,,,,,,,,
Keramatian,Kamyar,Full,Primary,,,,,1,https://scholar.google.com/citations?user=5BrI5mcAAAAJ&hl=en&oi=sra,,,,,,,,,,,,,
Kolind,Shannon,Full,,,,Primary,Secondary,1,,,,,,,,,,,,,,
Kozlowski,Piotr,Full,,,,Primary,,1,,,,,,,,,,,,,,
Kramer,John ,Full,,,,Primary,,0,,,,,,,,,,,,,,
Kraeutner,Sarah,Full,,,,,Primary,1,,,,,,,,,,,,,,
Krieger,Charles,Full,,,,Primary,,0,,,,,,,,,,,,,,
Kumar,Ujendra,Full,,,Primary,Secondary,,0,,,,,,,,,,,,,,
Lam,Raymond,Full,Primary,,,,,1,,,,,,,,,,,,,,
Lang,Donna,Full,Primary,,,,,0,,,,,,,,,,,,,,
Laule,Cornelia,Full,,,,Primary,Secondary,1,https://scholar.google.com/citations?user=bp6JqpUAAAAJ&hl=en&oi=sra,,,,,,,,,,,,,
Leavitt,Blair,Full,,,,Primary,,0,,,,,,,,,,,,,,
Leitch,Duncan,Full,,,,Primary,,1,,,,,,,,,,,,,,
Li,David,Full,,,,Primary,Secondary,1,,,,,,,,,,,,,,
Liu-Ambrose,Teresa,Full,,,Secondary,,Primary,1,,,,,,,,,,,,,,
Mackenzie,Ian,Full,,,Primary,Secondary,,1,,,,,,,,,,,,,,
MacVicar,Brian,Full,,Secondary,Secondary,,Primary,1,,,,,,,,,,,,,,
Madhav,Manu,Full,,,Primary,Secondary,,1,,,,,,,,,,,,,,
Matsubara,Joanne,Full,,,Secondary,Primary,Secondary,0,,,,,,,,,,,,,,
Matthews,Benjamin,Full,,,,Primary,,1,,,,,,,,,,,,,,
McKeown,Martin,Full,,,,Primary,,1,,,,,,,,,,,,,,
Michalak,Erin,Full,Primary,,,,,1,,,,,,,,,,,,,,
Miller,Freda,Full,,Primary,Secondary,,Secondary,1,,,,,,,,,,,,,,
Miller,Steven,Full,,,,,Primary ,1,,,,,,,,,,,,,,
Mizumoto,Kota,Full,,Secondary,,Primary,,1,,,,,,,,,,,,,,
Molday,Robert,Full,,Secondary,,Primary,,1,,,,,,,,,,,,,,
Moukhles,Hakima,Full,,Secondary,,,Primary,1,,,,,,,,,,,,,,
Moritz,Orson,Full,,,,Primary,,1,,,,,,,,,,,,,,
Murphy,Tim,Full,Secondary,,Secondary,Secondary,Primary,1,,,,,,,,,,,,,,
Nygaard,Haakon,Full,,,Primary,,,1,,,,,,,,,,,,,,
O'Connor,Timothy,Full,,Primary,Secondary,,Secondary,1,,,,,,,,,,,,,,
Oger,Joel,Full,,,,Primary,,1,,,,,,,,,,,,,,
Oruc,Ipek ,Full,,Secondary,,Primary,,1,,,,,,,,,,,,,,
Palombo,Daniela,Full,,,Primary,,,1,,,,,,,,,,,,,,
Panenka,William,Full,Secondary,,,,Primary,1,,,,,,,,,,,,,,
Pavlidis,Paul,Full,,Primary,,,,1,,,,,,,,,,,,,,
Pelech,Steven,Full,,,Primary,Secondary,,1,,,,,,,,,,,,,,
Phillips,Anthony,Full,Primary,,,,,1,,,,,,,,,,,,,,
Pouladi,Mahmoud,Full,,Primary,Secondary,Secondary,,1,,,,,,,,,,,,,,
Quandt,Jacqueline,Full,,,,Primary,Secondary,1,,,,,,,,,,,,,,
Ranger,Manon,Full,,Primary,,,,1,,,,,,,,,,,,,,
Rankin,Catharine ,Full,,Secondary,Primary,,,1,,,,,,,,,,,,,,
Rauscher,Alexander,Full,,,,,Primary,1,,,,,,,,,,,,,,
Raymond,Lynn,Full,,,Secondary,Primary,,1,,,,,,,,,,,,,,
Robertson,Heather,Full,Primary,,,,,0,,,,,,,,,,,,,,
Robillard ,Julie,Full,Secondary,,Primary,,,1,,,,,,,,,,,,,,
Rosin,Jessica,Full,,Primary,,,,1,,,,,,,,,,,,,,
Roskams,Jane,Full,,Primary,,,,1,,,,,,,,,,,,,,
Schütz,Christian,Full,Primary,,Secondary,,,1,,,,,,,,,,,,,,
Seamans,Jeremy,Full,Primary,,Secondary,,,1,,,,,,,,,,,,,,
Sekhon,Mypinder ,Full,,,,,Primary,1,,,,,,,,,,,,,,
Silverberg,Noah,Full,Secondary,,,,Primary,1,,,,,,,,,,,,,,
Snutch,Terry,Full,,Secondary,,,Primary,1,https://scholar.google.com/citations?user=mTkQFQ8AAAAJ&hl=en&oi=sra,,,,,,,,,,,,,
Snyder,Jason ,Full,,Secondary,Primary,,,1,,,,,,,,,,,,,,
Soma,Kiran,Full,,Primary,,,,1,,,,,,,,,,,,,,
Song,Weihong,Full,,,Primary,,,0,,,,,,,,,,,,,,
Sossi,Vesna,Full,,,,Primary,,1,,,,,,,,,,,,,,
Spering,Miriam,Full,,,,Primary,,1,,,,,,,,,,,,,,
Stewart,Evelyn,Full,Primary,,,,,1,,,,,,,,,,,,,,
Stoessl,Jon,Full,,,,Primary,,1,,,,,,,,,,,,,,
Stowe,Robert,Full,Primary,Secondary,,,,0,,,,,,,,,,,,,,
Subramaniam,Sriram,Full,Primary,,,,,1,,,,,,,,,,,,,,
Tam,Roger,Full,,,,Primary,,1,,,,,,,,,,,,,,
Tetzlaff,Wolfram ,Full,,,,Secondary,Primary,1,,,,,,,,,,,,,,
Todd,Rebecca,Full,Primary,,Secondary,,,1,,,,,,,,,,,,,,
Traboulsee,Tony,Full,,,,Primary,Secondary,0,,,,,,,,,,,,,,
Tremlett,Helen,Full,Secondary,Secondary,,Primary,,1,,,,,,,,,,,,,,
Vanderwal,Tamara,Full,Primary,Secondary,,,,1,https://scholar.google.com/citations?user=GbV3NC8AAAAJ&hl=en&oi=ao,,,,,,,,,,,,,
van Donkelaar,Paul,Full,Secondary,,,,Primary,1,,,,,,,,,,,,,,
Viau,Victor,Full,Primary,,,,,1,,,,,,,,,,,,,,
Vigo,Daniel,Full,Primary,,,,,1,,,,,,,,,,,,,,
Vilarino-Guell,Carles ,Full,,,,Primary,,1,,,,,,,,,,,,,,
Vila-Rodriguez,Fidel,Full,Primary,,Secondary,Secondary,,1,,,,,,,,,,,,,,
Virji-Babul,Naznin,Full,,Secondary,Secondary,,Primary,1,https://scholar.google.com/citations?user=y20wTxoAAAAJ&hl=en&oi=ao,,,,,,,,,,,,,
Wang,Yu Tian,Full,Secondary,Secondary,Secondary,,Primary,1,,,,,,,,,,,,,,
Ward,Lawrence,Full,,,Primary,,,1,,,,,,,,,,,,,,
Weber,Alexander,Full,,Primary,,,Secondary,1,,,,,,,,,,,,,,
Wellington ,Cheryl,Full,,,Secondary,,Primary,0,,,,,,,,,,,,,,
Werker,Janet ,Full,,Primary,,Secondary,,1,,,,,,,,,,,,,,
West,Christopher,Full,,,,Secondary,Primary,1,https://scholar.google.com/citations?user=yDfV8UsAAAAJ&hl=en&oi=ao,,,,,,,,,,,,,
Winstanley,Catharine ,Full,Primary,,,,,1,,,,,,,,,,,,,,
Woodward,Todd,Full,Primary,,Secondary,,,1,,,,,,,,,,,,,,
Yatham,Lakshmi,Full,Primary,,,,,1,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
