GS ONLY publications,GS ONLY title,GS ONLY coauthors,SV ONLY publications,SV ONLY title,SV ONLY coauthors,shared publications,shared gs title,shared sv title,shared gs coauthors,shared sv coauthors
patternsofmorphologicalchangeinbasalgangliabgstructuresinparkinsonsdiseasepd,Patterns of morphological change in basal ganglia (BG) structures in Parkinson's disease (PD),"['Martin J. McKeown', 'Silke Appel-Cresswell']",lecturenotesincomputerscienceincludingsubserieslecturenotesinartificialintelligenceandlecturenotesinbioinformaticspreface,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics): Preface,"['Brian Fisher', 'Purang Abolmaesumi']",alteredeegalphaandthetaoscillationscharacterizeapathyinparkinsonsdiseaseduringincentivizedmovement,Altered EEG alpha and theta oscillations characterize apathy in Parkinson's disease during incentivized movement,Altered EEG alpha and theta oscillations characterize apathy in Parkinson's disease during incentivized movement,"['Martin J. McKeown', 'Silke Appel-Cresswell']","['Martin McKeown', 'Silke Appel-Cresswell']"
detectingtwotaskdopaminereleaseviaresidualanalysis,Detecting two-task dopamine release via residual analysis,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",probabilisticbooleannetworkforinferringbrainconnectivityusingfmridata,Probabilistic Boolean Network for inferring brain connectivity using fMRI data,"['Martin McKeown', 'Z. Jane Wang']",dnajc13geneticvariantsinparkinsonism,DNAJC13 genetic variants in parkinsonism,DNAJC13 genetic variants in parkinsonism,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell']","['Martin McKeown', 'A. Jon Stoessl', 'Silke Appel-Cresswell']"
systematicphenomicsanalysisofasdassociatedgenesrevealssharedfunctionsandparallelnetworksunderlyingreversibleimpairmentsinhabituationlearning,Systematic phenomics analysis of ASD-associated genes reveals shared functions and parallel networks underlying reversible impairments in habituation learning,"['Paul Pavlidis', 'Kurt Haas', 'Rankin Catharine H']",interferencepeptidesanoveltherapeuticapproachtargetingsynapticplasticityindrugaddiction,Interference peptides: A novel therapeutic approach targeting synaptic plasticity in drug addiction,"['Anthony G. Phillips', 'YuTian Wang']",abnormalphasecouplinginparkinsonsdiseaseandnormalizationeffectsofsubthresholdvestibularstimulation,Abnormal phase coupling in Parkinson’s disease and normalization effects of subthreshold vestibular stimulation,Abnormal phase coupling in Parkinson’s disease and normalization effects of subthreshold vestibular stimulation,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
2121broadbanddirectionaleegconnectivitychangesduringmotorpreparationpredictsparkinsonsdiseaseseverity,2.121 BROAD-BAND DIRECTIONAL EEG CONNECTIVITY CHANGES DURING MOTOR PREPARATION PREDICTS PARKINSON'S DISEASE SEVERITY,"['Martin J. McKeown', 'Z. Jane Wang']",amultisubjectdynamicbayesiannetworksdbnsframeworkforbraineffectiveconnectivity,"A multi-subject, dynamic Bayesian networks (DBNS) framework for brain effective connectivity","['Martin McKeown', 'Z. Jane Wang']",anfdrcontrolledexploratorygroupmodelingforassessingbrainconnectivity,"An FDR-controlled, exploratory group modeling for assessing brain connectivity","An FDR-controlled, exploratory group modeling for assessing brain connectivity","['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
thedopamineeffectivedistributionvolumeagoodclassifyingestimatorofearlyparkinsonsdisease,The dopamine effective distribution volume: A good classifying estimator of early Parkinson's disease.,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",parkinsonsdiseaserigidityrelationtobrainconnectivityandmotorperformance,Parkinson's disease rigidity: Relation to brain connectivity and motor performance,"['Martin McKeown', 'Z. Jane Wang']",alphasynucleinph50qanovelpathogenicmutationforparkinsonsdisease,"Alpha‐synuclein p. H50Q, a novel pathogenic mutation for Parkinson's disease","Alpha-synuclein p.H50Q, a novel pathogenic mutation for Parkinson's disease","['A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell']","['A. Jon Stoessl', 'Silke Appel-Cresswell']"
invivoandnoninvasiveanalysisofspinalcorddeformationsforrodentresearchusingmagneticresonanceimaging,In vivo and non-invasive analysis of spinal cord deformations for rodent research using magnetic resonance imaging,"['Peter Cripton', 'Wolfram Tetzlaff']",openscienceinplayandintensionwithpatentprotections,Open science in play and in tension with patent protections,"['Paul Pavlidis', 'Jeffrey M. LeDue']",agespecificprogressionofnigrostriataldysfunctioninparkinsonsdisease,Age‐specific progression of nigrostriatal dysfunction in Parkinson's disease,Age-specific progression of nigrostriatal dysfunction in Parkinson's disease,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
measuringthebpoffourdopaminergictracersutilizingatissueinputfunction,Measuring the BP of four dopaminergic tracers utilizing a tissue input function,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",dynamicgraphtheoreticalanalysisoffunctionalconnectivityinparkinsonsdiseasetheimportanceoffiedlervalue,Dynamic Graph Theoretical Analysis of Functional Connectivity in Parkinson's Disease: The Importance of Fiedler Value,"['Martin McKeown', 'Z. Jane Wang']",multiscaleimaginginformstranslationalmousemodelingofneurologicaldisease,Multiscale imaging informs translational mouse modeling of neurological disease,Multiscale imaging informs translational mouse modeling of neurological disease,"['Tim H. Murphy', 'Jeffrey LeDue']","['Timothy H. Murphy', 'Jeffrey M. LeDue']"
thetemporaldynamicsofrestingstateconnectivityinparkinsonsdisease,The temporal dynamics of resting state connectivity in Parkinson's disease,"['Martin J. McKeown', 'Z. Jane Wang', 'Silke Appel-Cresswell']",effectofdopaminelossandthemetabolite3omethyl18ffluorodopaontherelationbetweenthe18ffluorodopatissueinputuptakerateconstantkoccandthe18ffluorodopaplasmainputuptakerateconstantki,Effect of dopamine loss and the metabolite 3-O-methyl-[<sup>18</sup>F]fluoro-dopa on the relation between the <sup>18</sup>F-fluorodopa tissue input uptake rate constant K<inf>occ</inf> and the [<sup>18</sup>F]fluorodopa plasma input uptake rate constant K<inf>i</inf>,"['A. Jon Stoessl', 'Vesna Sossi']",increaseindopamineturnoveroccursearlyinparkinsonsdiseaseevidencefromanewmodelingapproachtopet18ffluorodopadata,Increase in Dopamine Turnover Occurs Early in Parkinson's Disease: Evidence from a New Modeling Approach to PET 18F-Fluorodopa Data,Increase in dopamine turnover occurs early in Parkinson's disease: Evidence from a new modeling approach to PET <sup>18</sup>F-fluorodopa data,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
roleofdatinsynapticdopamineoscillationsinparkinsonsdiseaseaapetstudy,Role of DAT in synaptic dopamine oscillations in Parkinson's diseasea: A PET study,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",oscillatorypowerandsynchronyintheratforebrainarealteredbyasensitizingregimeofdamphetamine,Oscillatory power and synchrony in the rat forebrain are altered by a sensitizing regime of d-amphetamine,"['Anthony G. Phillips', 'Z. Jane Wang']",bilateralhumanfetalstriataltransplantationinhuntingtonsdisease,Bilateral human fetal striatal transplantation in Huntington’s disease,Bilateral human fetal striatal transplantation in Huntington's disease,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
3118investigationoftheroleofexpectationinthemechanismoftheplaceboeffectinparkinsonsdiseaseusinghighresolutionpositronemissiontomographypetwith11c,3.118 Investigation of the role of expectation in the mechanism of the placebo effect in Parkinson's disease using high-resolution positron emission tomography (PET) with [11C …,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",dopamineturnoverincreasesinasymptomaticlrrk2mutationscarriers,Dopamine turnover increases in asymptomatic LRRK2 mutations carriers,"['A. Jon Stoessl', 'Vesna Sossi']",rapidmorphologicplasticityofperiinfarctdendriticspinesafterfocalischemicstroke,Rapid morphologic plasticity of peri-infarct dendritic spines after focal ischemic stroke,Rapid morphologic plasticity of peri-infarct dendritic spines after focal ischemic stroke,"['Tim H. Murphy', 'Craig E. Brown']","['Timothy H. Murphy', 'Craig E. Brown']"
p237918ffluorodeoxyglucosepositronemissiontomographyinpresymptomaticprogranulinmutationcarriers,P2‐379:(18) F‐Fluorodeoxyglucose positron emission tomography in presymptomatic progranulin mutation carriers,"['A Jon Stoessl OR jon Stoessl', 'Ian Mackenzie', 'Vesna Sossi']",impactofdifferentrealignmentalgorithmsonthespmanalysisof11craclopridepetstudies,Impact of Different Realignment Algorithms on the SPM Analysis of [ <sup>11</sup>C]Raclopride PET Studies,"['A. Jon Stoessl', 'Vesna Sossi']",lackofregionalselectivityduringtheprogressionofparkinsondiseaseimplicationsforpathogenesis,Lack of regional selectivity during the progression of Parkinson disease: implications for pathogenesis,Lack of regional selectivity during the progression of Parkinson disease: Implications for pathogenesis,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
connectivitypatternsderivedfromrestingstatefmripredictbradykinesiaandrigidityinparkinsonsdisease,Connectivity patterns derived from resting state fMRI predict bradykinesia and rigidity in Parkinson's disease,"['Martin J. McKeown', 'Z. Jane Wang', 'Silke Appel-Cresswell']",aneemdivaframeworkforconcurrentmultidimensionaleegandunidimensionalkinematicdataanalysis,An EEMD-IVA framework for concurrent multidimensional EEG and unidimensional kinematic data analysis,"['Martin McKeown', 'Z. Jane Wang']",oralmethylphenidatefailstoelicitsignificantchangesinextracellularputaminaldopaminelevelsinparkinsonsdiseasepatientspositronemissiontomographicstudies,Oral methylphenidate fails to elicit significant changes in extracellular putaminal dopamine levels in Parkinson's disease patients: positron emission tomographic studies,Oral methylphenidate fails to elicit significant changes in extracellular putaminal dopamine levels in Parkinson's disease patients: Positron emission tomographic studies,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
theinfluenceoflrrk2mutationsoncholinergicsysteminmanifestandprodromalstageofparkinsonsdiseaseapositronemissiontomographystudy,The influence of LRRK2 mutations on cholinergic system in manifest and prodromal stage of Parkinson's disease: a positron emission tomography study,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",novelregionalactivityrepresentationwithconstrainedcanonicalcorrelationanalysisforbrainconnectivitynetworkestimation,Novel Regional Activity Representation with Constrained Canonical Correlation Analysis for Brain Connectivity Network Estimation,"['Martin McKeown', 'Z. Jane Wang']",afamilialformofparkinsonismdementiaandmotorneurondiseasealongitudinalstudy,"A familial form of parkinsonism, dementia, and motor neuron disease: A longitudinal study","A familial form of parkinsonism, dementia, and motor neuron disease: A longitudinal study","['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
serotonintransporterbindingandmotoronsetofparkinsonsdiseaseinasymptomaticlrrk2mutationcarriersacrosssectionalstudy,Serotonin transporter binding and motor onset of Parkinson's disease in asymptomatic LRRK2 mutation carriers: a cross-sectional study,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",guesteditorialforspecialsectiononmultimodalbiomedicalimagingalgorithmsandapplications,Guest editorial for special section on multimodal biomedical imaging: Algorithms and applications,"['Martin McKeown', 'Z. Jane Wang']",cttousregistrationofthelumbarspineaclinicalfeasibilitystudy,CT to US registration of the lumbar spine: a clinical feasibility study,CT to US registration of the lumbar spine: A clinical feasibility study,"['Ilker Hacihaliloglu', 'Purang Abolmaesumi']","['Ilker Hacihaliloglu', 'Purang Abolmaesumi']"
amultimodalframeworkforjointkinematicandeegdataanalysisduringahapticreachingtaskinparkinsonsdisease,A Multimodal Framework for Joint Kinematic and EEG Data Analysis during a Haptic Reaching Task in Parkinson’s Disease,"['Martin J. McKeown', 'Z. Jane Wang']",acomputationallyefficientexploratoryapproachtobrainconnectivityincorporatingfalsediscoveryratecontrolaprioriknowledgeandgroupinference,"A computationally efficient, exploratory approach to brain connectivity incorporating false discovery rate control, a priori knowledge, and group inference","['Martin McKeown', 'Z. Jane Wang']",athreestepmultimodalanalysisframeworkformodelingcorticomuscularactivitywithapplicationtoparkinsonsdisease,A three-step multimodal analysis framework for modeling corticomuscular activity with application to Parkinson’s disease,A three-step multimodal analysis framework for modeling corticomuscular activity with application to parkinson's disease,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
thecellularmechanismsofneuronalswellingunderlyingcytotoxicbrainedema,THE CELLULAR MECHANISMS OF NEURONAL SWELLING UNDERLYING CYTOTOXIC BRAIN EDEMA,"['Brian MacVicar', 'Snutch']",movementdisorders,Movement disorders,"['Martin McKeown', 'A. Jon Stoessl']",atimevaryingeigenspectrumsvmmethodforsemgclassificationofreachingmovementsinhealthyandstrokesubjects,A time-varying eigenspectrum/SVM method for sEMG classification of reaching movements in healthy and stroke subjects,A time-varying eigenspectrum / SVM method for sEMG classification of reaching movements in healthy and stroke subjects,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
alongitudinal11cdihydrotetrabenazinepetstudyofgenderdifferenceintheprogressionofdopaminergicdysfunctionintheparkinsoniancaudatep6064,A Longitudinal [11C](±) dihydrotetrabenazine PET Study of Gender Difference in the Progression of Dopaminergic Dysfunction in the Parkinsonian Caudate (P6. 064),"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",probabilisticbooleannetworkanalysisofbrainconnectivityinparkinsonsdisease,Probabilistic Boolean network analysis of brain connectivity in Parkinson's disease,"['Martin McKeown', 'Z. Jane Wang']",tolcaponeenhancesfoodevokeddopamineeffluxandexecutivememoryprocessesmediatedbytheratprefrontalcortex,Tolcapone enhances food-evoked dopamine efflux and executive memory processes mediated by the rat prefrontal cortex,Tolcapone enhances food-evoked dopamine efflux and executive memory processes mediated by the rat prefrontal cortex,"['Anthony Phillips', 'Jeremy K Seamans']","['Anthony G. Phillips', 'Jeremy Keith Seamans']"
effectofstriataldopaminergicdenervationon18ffdopa11cdtbzand11cmppetscansacomparativestudyinpatientswithparkinsonsdisease,"Effect of striatal dopaminergic denervation on [18F] FDOPA-,[11C] DTBZ-, and [11C] MP-PET scans: a comparative study in patients with Parkinson's disease","['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",earlyincreaseinextrasynapticnmdareceptorsignalingandexpressioncontributestophenotypeonsetinhuntingtonsdiseasemicedoi101016jneuron201001008,Early Increase in Extrasynaptic NMDA Receptor Signaling and Expression Contributes to Phenotype Onset in Huntington's Disease Mice (DOI:10.1016/j.neuron.2010.01.008),"['Timothy H. Murphy', 'Lynn A. Raymond']",scaphoidfracturefixationlocalizationofbonesthroughstatisticalmodeltoultrasoundregistration,Scaphoid fracture fixation: localization of bones through statistical model to ultrasound registration,Scaphoid fracture fixation: Localization of bones through statistical model to ultrasound registration,"['Ilker Hacihaliloglu', 'Purang Abolmaesumi']","['Ilker Hacihaliloglu', 'Purang Abolmaesumi']"
longitudinalassessmentofwaterreachingrevealsalteredcorticalactivityandfinemotorcoordinationdefectsinahuntingtondiseasemodel,Longitudinal assessment of water-reaching reveals altered cortical activity and fine motor coordination defects in a Huntington Disease model,"['Tim H. Murphy', 'Lynn A Raymond']",adaptposecrossdatasetadaptationfor3dhumanposeestimationbylearnablemotiongeneration,AdaptPose: Cross-Dataset Adaptation for 3D Human Pose Estimation by Learnable Motion Generation,"['Z. Jane Wang', 'Helge Rhodin']",intermittentthetabursttranscranialmagneticstimulationinduceshippocampalmossyfibreplasticityinmalebutnotfemalemice,Intermittent theta burst transcranial magnetic stimulation induces hippocampal mossy fibre plasticity in male but not female mice,Intermittent theta burst transcranial magnetic stimulation induces hippocampal mossy fibre plasticity in male but not female mice,"['Fidel Vila-Rodriguez', 'Jason S. Snyder']","['Fidel Vila-Rodriguez', 'Jason S. Snyder']"
reshapingthepathofmildcognitiveimpairmentbyrefiningexerciseprescriptionastudyprotocolofarandomizedcontrolledtrialtounderstandthewhatforwhomand,"Reshaping the path of mild cognitive impairment by refining exercise prescription: a study protocol of a randomized controlled trial to understand the “what,”“for whom,” and …","['Lara Boyd', 'Liisa Galea']",changesofdopamineturnoverintheprogressionofparkinsonsdiseaseasmeasuredbypositronemissiontomographytheirrelationtodiseasecompensatorymechanisms,Changes of dopamine turnover in the progression of Parkinson's disease as measured by positron emission tomography: Their relation to disease-compensatory mechanisms,"['A. Jon Stoessl', 'Vesna Sossi']",cognitiveflexibilityandlongtermdepressionltdareimpairedfollowingβcateninstabilizationinvivo,Cognitive flexibility and long-term depression (LTD) are impaired following β-catenin stabilization in vivo,Cognitive flexibility and long-term depression (LTD) are impaired following β-catenin stabilization in vivo,"['Brian MacVicar', 'Shernaz Bamji']","['Brian A. MacVicar', 'Shernaz X. Bamji', 'YuTian Wang']"
neuroimagingofdopaminergicfunctioninacaseofperrysyndrome,Neuroimaging of dopaminergic function in a case of Perry syndrome,"['A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell', 'Vesna Sossi']",interferencewithampareceptorendocytosiseffectsonbehaviouralandneurochemicalcorrelatesofamphetaminesensitizationinmalerats,Interference with AMPA receptor endocytosis: Effects on behavioural and neurochemical correlates of amphetamine sensitization in male rats,"['Anthony G. Phillips', 'YuTian Wang']",peripheralolfactoryensheathingcellsreducescarandcavityformationandpromoteregenerationafterspinalcordinjury,Peripheral olfactory ensheathing cells reduce scar and cavity formation and promote regeneration after spinal cord injury,Peripheral Olfactory Ensheathing Cells Reduce Scar and Cavity Formation and Promote Regeneration after Spinal Cord Injury,"['Wolfram Tetzlaff', 'A. Jane Roskams']","['Wolfram G. Tetzlaff', 'Angela Jane I. Roskams']"
clinicalcorrelatesofcomplementaryspatialpatternsin11cdtbz11cmp11cracand11cdasbpetimagesrevealedbymultisetcanonicalcorrelationanalysisin,"Clinical Correlates of Complementary Spatial Patterns in [11] C-DTBZ,[11] C-MP,[11] C-RAC, and [11] C-DASB PET Images Revealed by Multiset Canonical Correlation Analysis in …","['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",bothstationaryanddynamicfunctionalinterhemisphericconnectivityarestronglyassociatedwithperformanceoncognitivetestsinmultiplesclerosis,Both Stationary and Dynamic Functional Interhemispheric Connectivity Are Strongly Associated With Performance on Cognitive Tests in Multiple Sclerosis,"['Martin McKeown', 'Z. Jane Wang']",featureselectiontosimplifybdiforefficientdepressionidentification,Feature selection to simplify BDI for efficient depression identification,Feature selection to simplify BDI for efficient depression identification,"['Martin J. McKeown', 'Z. Jane Wang', 'Silke Appel-Cresswell']","['Martin McKeown', 'Z. Jane Wang', 'Silke Appel-Cresswell']"
