,Name,Scopus ID,Document Count,Cited by,Coauthors,Affiliation,SMS Coauthors
10,Jason S. Snyder,28167863900,37,4126,{'Fidel Vila-Rodriguez': 2},Department of Psychology,{'Fidel Vila-Rodriguez': 2}
11,Wolfram G. Tetzlaff,7006262846,206,16322,"{'Angela Jane I. Roskams': 9, 'P. A. Cripton': 6, 'Timothy H. Murphy': 2, 'Fabio Rossi': 1}",Department of Zoology,"{'Timothy H. Murphy': 2, 'P. A. Cripton': 6, 'Angela Jane I. Roskams': 9, 'Fabio Rossi': 1}"
12,Anthony G. Phillips,7401658611,307,22525,"{'Terrance P. Snutch': 3, 'Jeremy Keith Seamans': 15, 'YuTian Wang': 14, 'Shernaz X. Bamji': 1, 'Brian A. MacVicar': 1, 'Z. Jane Wang': 1, 'A. Jon Stoessl': 2, 'Vesna Sossi': 2, 'Todd Stephen Woodward': 1}","University of British Columbia, Faculty of Medicine","{'Brian A. MacVicar': 1, 'Shernaz X. Bamji': 1, 'A. Jon Stoessl': 2, 'Vesna Sossi': 2, 'Terrance P. Snutch': 3, 'Jeremy Keith Seamans': 15, 'YuTian Wang': 14, 'Z. Jane Wang': 1, 'Todd Stephen Woodward': 1}"
13,Catharine A. Winstanley,7005018303,74,7078,{'Vesna Sossi': 1},Department of Psychology,{'Vesna Sossi': 1}
14,YuTian Wang,8908521300,192,25281,"{'Jeremy Keith Seamans': 1, 'Anthony G. Phillips': 14, 'Jeffrey M. LeDue': 3, 'Timothy H. Murphy': 4, 'Shernaz X. Bamji': 1, 'Brian A. MacVicar': 2, 'Lynn A. Raymond': 2, 'Ian Mackenzie': 1, 'Catharine Rankin': 1}",School of Software,"{'Timothy H. Murphy': 4, 'Jeffrey M. LeDue': 3, 'Brian A. MacVicar': 2, 'Shernaz X. Bamji': 1, 'Anthony G. Phillips': 14, 'Jeremy Keith Seamans': 1, 'Lynn A. Raymond': 2, 'Ian Mackenzie': 1, 'Catharine Rankin': 1}"
15,Jeremy Keith Seamans,7003907622,70,10507,"{'Anthony G. Phillips': 15, 'YuTian Wang': 1, 'Todd Stephen Woodward': 1}",Djavad Mowafaghian Centre for Brain Health,"{'Anthony G. Phillips': 15, 'YuTian Wang': 1, 'Todd Stephen Woodward': 1}"
16,Terrance P. Snutch,35408131500,208,20097,"{'Anthony G. Phillips': 3, 'Brian A. MacVicar': 5, 'Shernaz X. Bamji': 1, 'Jeffrey M. LeDue': 2, 'A. Jon Stoessl': 1, 'Timothy H. Murphy': 1}",Michael Smith Laboratories,"{'Timothy H. Murphy': 1, 'Brian A. MacVicar': 5, 'Jeffrey M. LeDue': 2, 'Shernaz X. Bamji': 1, 'A. Jon Stoessl': 1, 'Anthony G. Phillips': 3}"
17,Ian Mackenzie,16407421900,282,42374,"{'Fidel Vila-Rodriguez': 1, 'Vesna Sossi': 2, 'A. Jon Stoessl': 2, 'Lynn A. Raymond': 2, 'YuTian Wang': 1, 'Shernaz X. Bamji': 1}","University of British Columbia, Faculty of Medicine","{'Fidel Vila-Rodriguez': 1, 'Shernaz X. Bamji': 1, 'Lynn A. Raymond': 2, 'A. Jon Stoessl': 2, 'Vesna Sossi': 2, 'YuTian Wang': 1}"
18,Lynn A. Raymond,7102737545,153,17600,"{'Timothy H. Murphy': 17, 'Shernaz X. Bamji': 2, 'Jeffrey M. LeDue': 1, 'YuTian Wang': 2, 'Ian Mackenzie': 2}",Department of Psychiatry,"{'Timothy H. Murphy': 17, 'Shernaz X. Bamji': 2, 'Ian Mackenzie': 2, 'YuTian Wang': 2, 'Jeffrey M. LeDue': 1}"
19,Kurt Haas,55554765000,55,2635,"{'Shernaz X. Bamji': 3, 'Paul Pavlidis': 3, 'Catharine Rankin': 2}",Djavad Mowafaghian Centre for Brain Health,"{'Shernaz X. Bamji': 3, 'Paul Pavlidis': 3, 'Catharine Rankin': 2}"
20,Mark S. Cembrowski,37036981000,24,1238,{},Djavad Mowafaghian Centre for Brain Health,{}
21,Fabio Rossi,7401756510,174,13160,{'Wolfram G. Tetzlaff': 1},School of Biomedical Engineering,{'Wolfram G. Tetzlaff': 1}
22,Angela Jane I. Roskams,55889287500,60,4467,{'Wolfram G. Tetzlaff': 9},Life Sciences Centre and Center for Brain Health,{'Wolfram G. Tetzlaff': 9}
23,Catharine Rankin,7007032941,111,4487,"{'Shernaz X. Bamji': 1, 'Paul Pavlidis': 3, 'Kurt Haas': 2, 'YuTian Wang': 1}",Djavad Mowafaghian Centre for Brain Health,"{'Shernaz X. Bamji': 1, 'Paul Pavlidis': 3, 'Kurt Haas': 2, 'YuTian Wang': 1}"
24,Michael D. Gordon,7402800449,29,2854,{},Department of Zoology and Life Sciences Institute,{}
25,Leonid Sigal,7103067039,128,6500,{'Helge Rhodin': 1},The University of British Columbia,{'Helge Rhodin': 1}
26,Z. Jane Wang,11241026700,336,8457,"{'Martin McKeown': 83, 'Helge Rhodin': 2, 'Fidel Vila-Rodriguez': 1, 'Silke Appel-Cresswell': 2, 'Peyman Servati': 1, 'Anthony G. Phillips': 1}",Department of Electrical & Computer Engineering,"{'Fidel Vila-Rodriguez': 1, 'Martin McKeown': 85, 'Silke Appel-Cresswell': 2, 'Anthony G. Phillips': 1, 'Helge Rhodin': 2, 'Liisa A. M. Galea': 2, 'Brian Fisher': 8, 'Purang Abolmaesumi': 16, 'Peyman Servati': 1}"
27,Peyman Servati,6701751588,137,3368,"{'Z. Jane Wang': 1, 'Martin McKeown': 1}",Department of Electrical & Computer Engineering,"{'Martin McKeown': 1, 'Z. Jane Wang': 1}"
28,Liisa A. M. Galea,7004079043,210,14971,"{'Lara A. Boyd': 1, 'Sophia Frangou': 1}",Department of Psychiatry,"{'Lara A. Boyd': 1, 'Z. Jane Wang': 2, 'Brian Fisher': 4, 'Purang Abolmaesumi': 8, 'Sophia Frangou': 1}"
29,Sophia Frangou,7004549374,313,20281,"{'Fidel Vila-Rodriguez': 5, 'Liisa A. M. Galea': 1}",Mood Disorders Centre,"{'Fidel Vila-Rodriguez': 5, 'Liisa A. M. Galea': 1}"
30,Silke Appel-Cresswell,36237882900,46,2909,"{'Brian A. MacVicar': 1, 'Fidel Vila-Rodriguez': 1, 'Martin McKeown': 14, 'A. Jon Stoessl': 14, 'Vesna Sossi': 6, 'Lara A. Boyd': 1, 'Z. Jane Wang': 2}",Djavad Mowafaghian Centre for Brain Health,"{'Brian A. MacVicar': 1, 'Fidel Vila-Rodriguez': 1, 'Lara A. Boyd': 1, 'Martin McKeown': 14, 'A. Jon Stoessl': 14, 'Vesna Sossi': 6, 'Z. Jane Wang': 2}"
31,Helge Rhodin,55860139200,52,2297,"{'Timothy H. Murphy': 3, 'Z. Jane Wang': 2, 'Jeffrey M. LeDue': 1, 'Leonid Sigal': 1}",The University of British Columbia,"{'Timothy H. Murphy': 5, 'Jeffrey M. LeDue': 1, 'Leonid Sigal': 1, 'Z. Jane Wang': 2}"
32,Manu S. Madhav,35146488900,13,239,{},Biomedical Engineering,{}
33,Brian Fisher,56363838400,96,1488,{},Simon Fraser University,"{'Z. Jane Wang': 8, 'Liisa A. M. Galea': 4, 'Purang Abolmaesumi': 34}"
34,Leigh Anne Swayne,7004454250,53,1349,"{'Brian A. MacVicar': 1, 'Craig E. Brown': 1}",Division of Medical Sciences,"{'Brian A. MacVicar': 1, 'Craig E. Brown': 1}"
35,Craig E. Brown,7408311558,38,2024,"{'Leigh Anne Swayne': 1, 'Timothy H. Murphy': 6}",Department of Psychiatry,"{'Timothy H. Murphy': 6, 'Leigh Anne Swayne': 1}"
36,Adrienne L. Fairhall,6602928622,69,3823,{'Eric T. Shea-Brown': 3},University of Washington,{'Eric T. Shea-Brown': 3}
37,Eric T. Shea-Brown,15065850600,82,4264,{'Adrienne L. Fairhall': 3},Department of Applied Mathematics,{'Adrienne L. Fairhall': 3}
38,Emily Lauren Sylwestrak,26634611400,10,1308,{},Department of Biology,{}
39,Andy Y. Shih,9239638800,73,5640,{'Timothy H. Murphy': 9},Department of Pediatrics,{'Timothy H. Murphy': 9}
40,Todd Stephen Woodward,7102848867,184,8433,"{'Lara A. Boyd': 2, 'Vesna Sossi': 1, 'Jeremy Keith Seamans': 1, 'Anthony G. Phillips': 1}","University of British Columbia, Faculty of Medicine","{'Lara A. Boyd': 2, 'Anthony G. Phillips': 1, 'Jeremy Keith Seamans': 1, 'Vesna Sossi': 1}"
41,Jeffrey M. LeDue,56371437500,37,1666,"{'Terrance P. Snutch': 3, 'Brian A. MacVicar': 11, 'Paul Pavlidis': 1, 'Timothy H. Murphy': 25, 'Helge Rhodin': 1, 'Lynn A. Raymond': 1, 'YuTian Wang': 3}",Djavad Mowafaghian Centre for Brain Health,"{'Timothy H. Murphy': 25, 'Helge Rhodin': 1, 'Brian A. MacVicar': 10, 'YuTian Wang': 3, 'Terrance P. Snutch': 2, 'Paul Pavlidis': 1, 'Lynn A. Raymond': 1}"
42,Ilker Hacihaliloglu,24467768400,70,1308,{'Purang Abolmaesumi': 11},Department of Medicine,{'Purang Abolmaesumi': 11}
43,Anthony Randal McIntosh,35465675000,297,28468,{},Institute for Neuroscience and Neurotechnology,{}
44,Purang Abolmaesumi,6602170125,358,6020,{'Ilker Hacihaliloglu': 11},Department of Electrical & Computer Engineering,"{'Z. Jane Wang': 16, 'Liisa A. M. Galea': 8, 'Brian Fisher': 34, 'Ilker Hacihaliloglu': 11}"
45,Vesna Sossi,56276238300,334,13625,"{'Martin McKeown': 11, 'A. Jon Stoessl': 73, 'Ian Mackenzie': 2, 'Silke Appel-Cresswell': 6, 'Lara A. Boyd': 1, 'Todd Stephen Woodward': 1, 'Catharine A. Winstanley': 1, 'Anthony G. Phillips': 2}",Department of Physics and Astronomy,"{'Lara A. Boyd': 1, 'Martin McKeown': 11, 'A. Jon Stoessl': 73, 'Silke Appel-Cresswell': 6, 'Ian Mackenzie': 2, 'Anthony G. Phillips': 2, 'Catharine A. Winstanley': 1, 'Todd Stephen Woodward': 1}"
