Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Language,Citations,Reference,Abstract,DOI,Publication type,Open Access,EID,Institutions,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Author Keyword
Antidepressant effects of ketamine and the roles of AMPA glutamate receptors and other mechanisms beyond NMDA receptor antagonism,"Aleksandrova, L.R., Phillips, A.G., Wang, Y.T.",3,55628280800| 7401658611| 8908521300,2017,2017-01-01,Journal of Psychiatry and Neuroscience,English,139,"Aleksandrova, L.R., Phillips, A.G., Wang, Y.T. (2017).Antidepressant effects of ketamine and the roles of AMPA glutamate receptors and other mechanisms beyond NMDA receptor antagonism. Journal of Psychiatry and Neuroscience,42(4) 222-229",https://www.scopus.com/record/display.url?eid=2-s2.0-85018426141&origin=resultslist,10.1503/jpn.160175,Note,Bronze|Green,2-s2.0-85018426141,University of British Columbia,1,60010365| 60083635| 60010365,The University of British Columbia| Djavad Mowafaghian Centre for Brain Health| The University of British Columbia,55628280800,8908521300,8908521300,-,Canada,YuTian Wang
Antidepressant effects of ketamine and the roles of AMPA glutamate receptors and other mechanisms beyond NMDA receptor antagonism,"Aleksandrova, L.R., Phillips, A.G., Wang, Y.T.",3,55628280800| 7401658611| 8908521300,2017,2017-01-01,Journal of Psychiatry and Neuroscience,English,139,"Aleksandrova, L.R., Phillips, A.G., Wang, Y.T. (2017).Antidepressant effects of ketamine and the roles of AMPA glutamate receptors and other mechanisms beyond NMDA receptor antagonism. Journal of Psychiatry and Neuroscience,42(4) 222-229",https://www.scopus.com/record/display.url?eid=2-s2.0-85018426141&origin=resultslist,10.1503/jpn.160175,Note,Bronze|Green,2-s2.0-85018426141,University of British Columbia,1,60010365| 60083635| 60010365,The University of British Columbia| Djavad Mowafaghian Centre for Brain Health| The University of British Columbia,55628280800,8908521300,8908521300,-,Canada,Anthony G. Phillips
The Use of Multivariate EMD and CCA for Denoising Muscle Artifacts from Few-Channel EEG Recordings,"Chen, X., Xu, X., Liu, A., McKeown, M.J., Wang, Z.J.",5,36456894700| 57197829580| 54397386900| 7005375626| 11241026700,2018,2018-02-01,IEEE Transactions on Instrumentation and Measurement,English,119,"Chen, X., Xu, X., Liu, A. and 2 more (...) (2018).The Use of Multivariate EMD and CCA for Denoising Muscle Artifacts from Few-Channel EEG Recordings. IEEE Transactions on Instrumentation and Measurement,67(2) 359-370",https://www.scopus.com/record/display.url?eid=2-s2.0-85035130703&origin=resultslist,10.1109/TIM.2017.2759398,Article,,2-s2.0-85035130703,Hefei University of Technology| University of British Columbia,2,60002836| 60002836| 60010365| 60010365,Hefei University of Technology| Hefei University of Technology| The University of British Columbia| The University of British Columbia,36456894700,11241026700,54397386900,-,China| Canada,Z. Jane Wang
The Use of Multivariate EMD and CCA for Denoising Muscle Artifacts from Few-Channel EEG Recordings,"Chen, X., Xu, X., Liu, A., McKeown, M.J., Wang, Z.J.",5,36456894700| 57197829580| 54397386900| 7005375626| 11241026700,2018,2018-02-01,IEEE Transactions on Instrumentation and Measurement,English,119,"Chen, X., Xu, X., Liu, A. and 2 more (...) (2018).The Use of Multivariate EMD and CCA for Denoising Muscle Artifacts from Few-Channel EEG Recordings. IEEE Transactions on Instrumentation and Measurement,67(2) 359-370",https://www.scopus.com/record/display.url?eid=2-s2.0-85035130703&origin=resultslist,10.1109/TIM.2017.2759398,Article,,2-s2.0-85035130703,Hefei University of Technology| University of British Columbia,2,60002836| 60002836| 60010365| 60010365,Hefei University of Technology| Hefei University of Technology| The University of British Columbia| The University of British Columbia,36456894700,11241026700,54397386900,-,China| Canada,Martin McKeown
A Novel porcine model of traumatic thoracic spinal cord injury,"Lee, J.H.T., Jones, C.F., Okon, E.B., Anderson, L., Tigchelaar, S., Kooner, P., Godbey, T., Chua, B., Gray, G., Hildebrandt, R., Cripton, P., Tetzlaff, W., Kwon, B.K.",13,27169030600| 55474263500| 7006410990| 55581270300| 56610817600| 58292878500| 13613215300| 7005505793| 57196814089| 55578860600| 6603629883| 7006262846| 55851635600,2013,2013-02-01,Journal of Neurotrauma,English,112,"Lee, J.H.T., Jones, C.F., Okon, E.B. and 10 more (...) (2013).A Novel porcine model of traumatic thoracic spinal cord injury. Journal of Neurotrauma,30(3) 142-159",https://www.scopus.com/record/display.url?eid=2-s2.0-84873399895&origin=resultslist,10.1089/neu.2012.2386,Article,,2-s2.0-84873399895,University of British Columbia,1,60193424| 60010365| 60010365| 60010365| 60010365,International Collaboration on Repair Discoveries| The University of British Columbia| The University of British Columbia| The University of British Columbia| The University of British Columbia,27169030600,55851635600,55851635600,-,Canada,P. A. Cripton
A Novel porcine model of traumatic thoracic spinal cord injury,"Lee, J.H.T., Jones, C.F., Okon, E.B., Anderson, L., Tigchelaar, S., Kooner, P., Godbey, T., Chua, B., Gray, G., Hildebrandt, R., Cripton, P., Tetzlaff, W., Kwon, B.K.",13,27169030600| 55474263500| 7006410990| 55581270300| 56610817600| 58292878500| 13613215300| 7005505793| 57196814089| 55578860600| 6603629883| 7006262846| 55851635600,2013,2013-02-01,Journal of Neurotrauma,English,112,"Lee, J.H.T., Jones, C.F., Okon, E.B. and 10 more (...) (2013).A Novel porcine model of traumatic thoracic spinal cord injury. Journal of Neurotrauma,30(3) 142-159",https://www.scopus.com/record/display.url?eid=2-s2.0-84873399895&origin=resultslist,10.1089/neu.2012.2386,Article,,2-s2.0-84873399895,University of British Columbia,1,60193424| 60010365| 60010365| 60010365| 60010365,International Collaboration on Repair Discoveries| The University of British Columbia| The University of British Columbia| The University of British Columbia| The University of British Columbia,27169030600,55851635600,55851635600,-,Canada,Wolfram G. Tetzlaff
"Prevention of LPS-Induced Microglia Activation, Cytokine Production and Sickness Behavior with TLR4 Receptor Interfering Peptides","Hines, D.J., Choi, H.B., Hines, R.M., Phillips, A.G., MacVicar, B.A.",5,7102719650| 7404339320| 12802959100| 7401658611| 7006717711,2013,2013-03-28,PLoS ONE,English,106,"Hines, D.J., Choi, H.B., Hines, R.M. and 2 more (...) (2013).Prevention of LPS-Induced Microglia Activation, Cytokine Production and Sickness Behavior with TLR4 Receptor Interfering Peptides. PLoS ONE,8(3)",https://www.scopus.com/record/display.url?eid=2-s2.0-84875512084&origin=resultslist,10.1371/journal.pone.0060388,Article,Gold|Green,2-s2.0-84875512084,University of British Columbia,1,60010365| 60083635,The University of British Columbia| Djavad Mowafaghian Centre for Brain Health,7102719650,7006717711,-,-,Canada,Brian A. MacVicar
"Prevention of LPS-Induced Microglia Activation, Cytokine Production and Sickness Behavior with TLR4 Receptor Interfering Peptides","Hines, D.J., Choi, H.B., Hines, R.M., Phillips, A.G., MacVicar, B.A.",5,7102719650| 7404339320| 12802959100| 7401658611| 7006717711,2013,2013-03-28,PLoS ONE,English,106,"Hines, D.J., Choi, H.B., Hines, R.M. and 2 more (...) (2013).Prevention of LPS-Induced Microglia Activation, Cytokine Production and Sickness Behavior with TLR4 Receptor Interfering Peptides. PLoS ONE,8(3)",https://www.scopus.com/record/display.url?eid=2-s2.0-84875512084&origin=resultslist,10.1371/journal.pone.0060388,Article,Gold|Green,2-s2.0-84875512084,University of British Columbia,1,60010365| 60083635,The University of British Columbia| Djavad Mowafaghian Centre for Brain Health,7102719650,7006717711,-,-,Canada,Anthony G. Phillips
Mapping synaptic glutamate transporter dysfunction in vivo to regions surrounding Aβ plaques by iGluSnFR two-photon imaging,"Hefendehl, J.K., LeDue, J., Ko, R.W.Y., Mahler, J., Murphy, T.H., MacVicar, B.A.",6,36177690900| 56371437500| 35317712400| 55485927800| 7401632487| 7006717711,2016,2016-11-11,Nature Communications,English,92,"Hefendehl, J.K., LeDue, J., Ko, R.W.Y. and 3 more (...) (2016).Mapping synaptic glutamate transporter dysfunction in vivo to regions surrounding Aβ plaques by iGluSnFR two-photon imaging. Nature Communications,7",https://www.scopus.com/record/display.url?eid=2-s2.0-84995378086&origin=resultslist,10.1038/ncomms13441,Article,Gold|Green,2-s2.0-84995378086,University of Tübingen| University of British Columbia,2,60010365| 60083635| 60084331,The University of British Columbia| Djavad Mowafaghian Centre for Brain Health| Hertie-Institut für klinische Hirnforschung,36177690900,7006717711,36177690900,-,Germany| Canada,Timothy H. Murphy
Mapping synaptic glutamate transporter dysfunction in vivo to regions surrounding Aβ plaques by iGluSnFR two-photon imaging,"Hefendehl, J.K., LeDue, J., Ko, R.W.Y., Mahler, J., Murphy, T.H., MacVicar, B.A.",6,36177690900| 56371437500| 35317712400| 55485927800| 7401632487| 7006717711,2016,2016-11-11,Nature Communications,English,92,"Hefendehl, J.K., LeDue, J., Ko, R.W.Y. and 3 more (...) (2016).Mapping synaptic glutamate transporter dysfunction in vivo to regions surrounding Aβ plaques by iGluSnFR two-photon imaging. Nature Communications,7",https://www.scopus.com/record/display.url?eid=2-s2.0-84995378086&origin=resultslist,10.1038/ncomms13441,Article,Gold|Green,2-s2.0-84995378086,University of Tübingen| University of British Columbia,2,60010365| 60083635| 60084331,The University of British Columbia| Djavad Mowafaghian Centre for Brain Health| Hertie-Institut für klinische Hirnforschung,36177690900,7006717711,36177690900,-,Germany| Canada,Brian A. MacVicar
Removing Muscle Artifacts from EEG Data: Multichannel or Single-Channel Techniques?,"Chen, X., Liu, A., Chiang, J., Wang, Z.J., McKeown, M.J., Ward, R.K.",6,36456894700| 54397386900| 16068241200| 11241026700| 7005375626| 56254487800,2016,2016-04-01,IEEE Sensors Journal,English,90,"Chen, X., Liu, A., Chiang, J. and 3 more (...) (2016).Removing Muscle Artifacts from EEG Data: Multichannel or Single-Channel Techniques?. IEEE Sensors Journal,16(7) 1986-1997",https://www.scopus.com/record/display.url?eid=2-s2.0-84962163398&origin=resultslist,10.1109/JSEN.2015.2506982,Article,,2-s2.0-84962163398,Hefei University of Technology| University of British Columbia,2,60002836| 60010365| 60010365,Hefei University of Technology| The University of British Columbia| The University of British Columbia,36456894700,56254487800,-,-,China| Canada,Z. Jane Wang
Removing Muscle Artifacts from EEG Data: Multichannel or Single-Channel Techniques?,"Chen, X., Liu, A., Chiang, J., Wang, Z.J., McKeown, M.J., Ward, R.K.",6,36456894700| 54397386900| 16068241200| 11241026700| 7005375626| 56254487800,2016,2016-04-01,IEEE Sensors Journal,English,90,"Chen, X., Liu, A., Chiang, J. and 3 more (...) (2016).Removing Muscle Artifacts from EEG Data: Multichannel or Single-Channel Techniques?. IEEE Sensors Journal,16(7) 1986-1997",https://www.scopus.com/record/display.url?eid=2-s2.0-84962163398&origin=resultslist,10.1109/JSEN.2015.2506982,Article,,2-s2.0-84962163398,Hefei University of Technology| University of British Columbia,2,60002836| 60010365| 60010365,Hefei University of Technology| The University of British Columbia| The University of British Columbia,36456894700,56254487800,-,-,China| Canada,Martin McKeown
Re-establishment of cortical motor output maps and spontaneous functional recovery via spared dorsolaterally projecting corticospinal neurons after dorsal column spinal cord injury in adult mice,"Hilton, B.J., Anenberg, E., Harrison, T.C., Boyd, J.D., Murphy, T.H., Tetzlaff, W.",6,55148461400| 55753186700| 26027865900| 55439254100| 7401632487| 7006262846,2016,2016-04-06,Journal of Neuroscience,English,79,"Hilton, B.J., Anenberg, E., Harrison, T.C. and 3 more (...) (2016).Re-establishment of cortical motor output maps and spontaneous functional recovery via spared dorsolaterally projecting corticospinal neurons after dorsal column spinal cord injury in adult mice. Journal of Neuroscience,36(14) 4080-4092",https://www.scopus.com/record/display.url?eid=2-s2.0-84964052741&origin=resultslist,10.1523/JNEUROSCI.3386-15.2016,Article,Hybrid gold|Green,2-s2.0-84964052741,University of British Columbia,1,60010365| 60193424| 60010365| 60010365| 60010365| 60083635,The University of British Columbia| International Collaboration on Repair Discoveries| The University of British Columbia| The University of British Columbia| The University of British Columbia| Djavad Mowafaghian Centre for Brain Health,55148461400,7006262846,7401632487,-,Canada,Wolfram G. Tetzlaff
Re-establishment of cortical motor output maps and spontaneous functional recovery via spared dorsolaterally projecting corticospinal neurons after dorsal column spinal cord injury in adult mice,"Hilton, B.J., Anenberg, E., Harrison, T.C., Boyd, J.D., Murphy, T.H., Tetzlaff, W.",6,55148461400| 55753186700| 26027865900| 55439254100| 7401632487| 7006262846,2016,2016-04-06,Journal of Neuroscience,English,79,"Hilton, B.J., Anenberg, E., Harrison, T.C. and 3 more (...) (2016).Re-establishment of cortical motor output maps and spontaneous functional recovery via spared dorsolaterally projecting corticospinal neurons after dorsal column spinal cord injury in adult mice. Journal of Neuroscience,36(14) 4080-4092",https://www.scopus.com/record/display.url?eid=2-s2.0-84964052741&origin=resultslist,10.1523/JNEUROSCI.3386-15.2016,Article,Hybrid gold|Green,2-s2.0-84964052741,University of British Columbia,1,60010365| 60193424| 60010365| 60010365| 60010365| 60083635,The University of British Columbia| International Collaboration on Repair Discoveries| The University of British Columbia| The University of British Columbia| The University of British Columbia| Djavad Mowafaghian Centre for Brain Health,55148461400,7006262846,7401632487,-,Canada,Timothy H. Murphy
Real-time imaging of glutamate clearance reveals normal striatal uptake in Huntington disease mouse models,"Parsons, M.P., Vanni, M.P., Woodard, C.L., Kang, R., Murphy, T.H., Raymond, L.A.",6,57211776705| 35575105400| 57188826450| 7005234242| 7401632487| 7102737545,2016,2016-04-07,Nature Communications,English,76,"Parsons, M.P., Vanni, M.P., Woodard, C.L. and 3 more (...) (2016).Real-time imaging of glutamate clearance reveals normal striatal uptake in Huntington disease mouse models. Nature Communications,7",https://www.scopus.com/record/display.url?eid=2-s2.0-84963655295&origin=resultslist,10.1038/ncomms11251,Article,Gold|Green,2-s2.0-84963655295,University of British Columbia| Memorial University of Newfoundland,2,60083635| 60010365| 60019000,Djavad Mowafaghian Centre for Brain Health| The University of British Columbia| Memorial University of Newfoundland,57211776705,7102737545,7102737545,-,Canada,Timothy H. Murphy
Real-time imaging of glutamate clearance reveals normal striatal uptake in Huntington disease mouse models,"Parsons, M.P., Vanni, M.P., Woodard, C.L., Kang, R., Murphy, T.H., Raymond, L.A.",6,57211776705| 35575105400| 57188826450| 7005234242| 7401632487| 7102737545,2016,2016-04-07,Nature Communications,English,76,"Parsons, M.P., Vanni, M.P., Woodard, C.L. and 3 more (...) (2016).Real-time imaging of glutamate clearance reveals normal striatal uptake in Huntington disease mouse models. Nature Communications,7",https://www.scopus.com/record/display.url?eid=2-s2.0-84963655295&origin=resultslist,10.1038/ncomms11251,Article,Gold|Green,2-s2.0-84963655295,University of British Columbia| Memorial University of Newfoundland,2,60083635| 60010365| 60019000,Djavad Mowafaghian Centre for Brain Health| The University of British Columbia| Memorial University of Newfoundland,57211776705,7102737545,7102737545,-,Canada,Lynn A. Raymond
