Title,Authors
Mesoscale infraslow spontaneous membrane potential fluctuations recapitulate high-frequency activity cortical motifs,"['YuTian Wang', 'Jeffrey M. LeDue', 'Jeffrey M. LeDue', 'Timothy H. Murphy', 'YuTian Wang', 'Timothy H. Murphy', 'YuTian Wang', 'Jeffrey M. LeDue', 'Jeffrey M. LeDue', 'Timothy H. Murphy', 'YuTian Wang', 'Timothy H. Murphy']"
Cortical activity motifs that correspond to sensory modalities are organized within larger superclusters,"['Jeffrey M. LeDue', 'Timothy H. Murphy', 'Jeffrey M. LeDue', 'Timothy H. Murphy']"
Optogenetic mapping after stroke reveals network-wide scaling of functional connections and heterogeneous recovery of the peri-infarct,"['Jeffrey M. LeDue', 'Timothy H. Murphy', 'Jeffrey M. LeDue', 'Timothy H. Murphy']"
Ministrokes in channelrhodopsin-2 transgenic mice reveal widespread deficits in motor output despite maintenance of cortical neuronal excitability,"['Wolfram G. Tetzlaff', 'Timothy H. Murphy', 'Wolfram G. Tetzlaff', 'Timothy H. Murphy']"
Spontaneous cortical activity alternates between motifs defined by regional axonal projections,"['YuTian Wang', 'Jeffrey M. LeDue', 'Jeffrey M. LeDue', 'Timothy H. Murphy', 'YuTian Wang', 'Timothy H. Murphy', 'YuTian Wang', 'Jeffrey M. LeDue', 'Jeffrey M. LeDue', 'Timothy H. Murphy', 'YuTian Wang', 'Timothy H. Murphy']"
"Improved methods for chronic light-based motor mapping in mice: Automated movement tracking with accelerometers, and chronic EEG recording in a bilateral thin-skull preparation","['Jeffrey M. LeDue', 'Timothy H. Murphy', 'Jeffrey M. LeDue', 'Timothy H. Murphy']"
Optogenetic approaches for functional mouse brain mapping,"['Jeffrey M. LeDue', 'Timothy H. Murphy', 'Jeffrey M. LeDue', 'Timothy H. Murphy']"
In vivo large-scale cortical mapping using channelrhodopsin-2 stimulation in transgenic mice reveals asymmetric and reciprocal relationships between cortical areas,"['Jeffrey M. LeDue', 'Timothy H. Murphy', 'Jeffrey M. LeDue', 'Timothy H. Murphy']"
Postsynaptic TrkC and presynaptic PTPσ function as a bidirectional excitatory synaptic organizing complex,"['YuTian Wang', 'Timothy H. Murphy', 'YuTian Wang', 'Timothy H. Murphy']"
Longitudinal in vivo imaging reveals balanced and branch-specific remodeling of mature cortical pyramidal dendritic arbors after stroke,"['Craig E. Brown', 'Timothy H. Murphy', 'Craig E. Brown', 'Timothy H. Murphy']"
Early Increase in Extrasynaptic NMDA Receptor Signaling and Expression Contributes to Phenotype Onset in Huntington's Disease Mice (DOI:10.1016/j.neuron.2010.01.008),"['Lynn A. Raymond', 'Timothy H. Murphy', 'Lynn A. Raymond', 'Timothy H. Murphy']"
Early Increase in Extrasynaptic NMDA Receptor Signaling and Expression Contributes to Phenotype Onset in Huntington's Disease Mice,"['Lynn A. Raymond', 'Timothy H. Murphy', 'Lynn A. Raymond', 'Timothy H. Murphy']"
In vivo voltage-sensitive dye imaging in adult mice reveals that somatosensory maps lost to stroke are replaced over weeks by new structural and functional circuits with prolonged modes of activation within both the peri-infarct zone and distant sites,"['Craig E. Brown', 'Timothy H. Murphy', 'Craig E. Brown', 'Timothy H. Murphy']"
Livin' on the edge: Imaging dendritic spine turnover in the peri-infarct zone during ischemic stroke and recovery,"['Craig E. Brown', 'Timothy H. Murphy', 'Craig E. Brown', 'Timothy H. Murphy']"
Rapid morphologic plasticity of peri-infarct dendritic spines after focal ischemic stroke,"['Craig E. Brown', 'Timothy H. Murphy', 'Craig E. Brown', 'Timothy H. Murphy']"
Differential regulation of cell proliferation in neurogenic zones in mice lacking cystine transport by xCT,"['Craig E. Brown', 'Timothy H. Murphy', 'Craig E. Brown', 'Timothy H. Murphy']"
Extensive turnover of dendritic spines and vascular remodeling in cortical tissues recovering from stroke,"['Craig E. Brown', 'Timothy H. Murphy', 'Craig E. Brown', 'Timothy H. Murphy']"
Dopamine activates Nrf2-regulated neuroprotective pathways in astrocytes and meningeal cells,"['Andy Y. Shih', 'Timothy H. Murphy', 'Andy Y. Shih', 'Timothy H. Murphy']"
Nrf2 gene deletion fails to alter psychostimulant-induced behavior or neurotoxicity,"['Andy Y. Shih', 'Timothy H. Murphy', 'Andy Y. Shih', 'Timothy H. Murphy']"
Cystine/glutamate exchange modulates glutathione supply for neuroprotection from oxidative stress and cell proliferation,"['Andy Y. Shih', 'Timothy H. Murphy', 'Andy Y. Shih', 'Timothy H. Murphy']"
Two-photon imaging of glutathione levels in intact brain indicates enhanced redox buffering in developing neurons and cells at the cerebrospinal fluid and blood-brain interface,"['Andy Y. Shih', 'Timothy H. Murphy', 'Andy Y. Shih', 'Timothy H. Murphy']"
A small-molecule-inducible Nrf2-mediated antioxidant response provides effective prophylaxis against cerebral ischemia in vivo,"['Andy Y. Shih', 'Timothy H. Murphy', 'Andy Y. Shih', 'Timothy H. Murphy']"
Induction of the Nrf2-driven antioxidant response confers neuroprotection during mitochondrial stress in vivo,"['Andy Y. Shih', 'Timothy H. Murphy', 'Andy Y. Shih', 'Timothy H. Murphy']"
Enhanced striatal NR2B-containing N-methyl-D-aspartate receptor-mediated synaptic currents in a mouse model of Huntington disease,"['Lynn A. Raymond', 'Timothy H. Murphy', 'Lynn A. Raymond', 'Timothy H. Murphy']"
Competition between Phasic and Asynchronous Release for Recovered Synaptic Vesicles at Developing Hippocampal Autaptic Synapses,"['Lynn A. Raymond', 'Timothy H. Murphy', 'Lynn A. Raymond', 'Timothy H. Murphy']"
Site within N-Methyl-D-aspartate Receptor Pore Modulates Channel Gating,"['Lynn A. Raymond', 'Timothy H. Murphy', 'Lynn A. Raymond', 'Timothy H. Murphy']"
Developmental Decrease in NMDA Receptor Desensitization Associated with Shift to Synapse and Interaction with Postsynaptic Density-95,"['Lynn A. Raymond', 'Timothy H. Murphy', 'Lynn A. Raymond', 'Timothy H. Murphy']"
NF-E2-related factor-2 mediates neuroprotection against mitochondrial complex I inhibitors and increased concentrations of intracellular calcium in primary cortical neurons,"['Andy Y. Shih', 'Timothy H. Murphy', 'Andy Y. Shih', 'Timothy H. Murphy']"
Coordinate regulation of glutathione biosynthesis and release by Nrf2-expressing glia potently protects neurons from oxidative stress,"['Andy Y. Shih', 'Timothy H. Murphy', 'Andy Y. Shih', 'Timothy H. Murphy']"
Role of NR2B-type NMDA receptors in selective neurodegeneration in Huntington disease,"['Lynn A. Raymond', 'Timothy H. Murphy', 'Lynn A. Raymond', 'Timothy H. Murphy']"
Differential regulation of synaptic and extrasynaptic NMDA receptors,"['Lynn A. Raymond', 'Timothy H. Murphy', 'Lynn A. Raymond', 'Timothy H. Murphy']"
A calcium-dependent feedback mechanism participates in shaping single NMDA miniature EPSCs,"['Lynn A. Raymond', 'Timothy H. Murphy', 'Lynn A. Raymond', 'Timothy H. Murphy']"
Changes in agonist concentration dependence that are a function of duration of exposure suggest N-methyl-D-aspartate receptor nonsaturation during synaptic stimulation,"['Lynn A. Raymond', 'Timothy H. Murphy', 'Lynn A. Raymond', 'Timothy H. Murphy']"
xCT cystine transporter expression in HEK293 cells: Pharmacology and localization,"['Andy Y. Shih', 'Timothy H. Murphy', 'Andy Y. Shih', 'Timothy H. Murphy']"
Competitive inhibition of NMDA receptor-mediated currents by extracellular calcium chelators,"['Lynn A. Raymond', 'Timothy H. Murphy', 'Lynn A. Raymond', 'Timothy H. Murphy']"
P/Q-type calcium channels mediate the activity-dependent feedback of syntaxin-1A,"['Terrance P. Snutch', 'Timothy H. Murphy', 'Terrance P. Snutch', 'Timothy H. Murphy']"
KCC2 drives chloride microdomain formation in dendritic blebbing,"['Jeffrey M. LeDue', 'Brian A. MacVicar', 'Jeffrey M. LeDue', 'Brian A. MacVicar']"
The Oral and Fecal Microbiota in a Canadian Cohort of Alzheimer's Disease,"['Silke Appel-Cresswell', 'Brian A. MacVicar', 'Silke Appel-Cresswell', 'Brian A. MacVicar']"
Hyperexcitable superior colliculus and fatal brainstem spreading depolarization in a model of Sudden Unexpected Death in Epilepsy,"['Terrance P. Snutch', 'Brian A. MacVicar', 'Terrance P. Snutch', 'Brian A. MacVicar']"
PANX1 in inflammation heats up: New mechanistic insights with implications for injury and infection,"['Leigh Anne Swayne', 'Brian A. MacVicar', 'Leigh Anne Swayne', 'Brian A. MacVicar']"
Green fluorescent protein emission obscures metabolic fluorescent lifetime imaging of NAD(P)H,"['Jeffrey M. LeDue', 'Brian A. MacVicar', 'Jeffrey M. LeDue', 'Brian A. MacVicar']"
3dmorph automatic analysis of microglial morphology in three dimensions from ex vivo and in vivo imaging,"['Jeffrey M. LeDue', 'Brian A. MacVicar', 'Jeffrey M. LeDue', 'Brian A. MacVicar']"
"Ca<inf>V</inf>3.2 drives sustained burst-firing, which is critical for absence seizure propagation in reticular thalamic neurons","['Terrance P. Snutch', 'Jeffrey M. LeDue', 'Brian A. MacVicar', 'Jeffrey M. LeDue', 'Terrance P. Snutch', 'Brian A. MacVicar', 'Terrance P. Snutch', 'Jeffrey M. LeDue', 'Brian A. MacVicar', 'Jeffrey M. LeDue', 'Terrance P. Snutch', 'Brian A. MacVicar']"
A critical role for astrocytes in hypercapnic vasodilation in brain,"['Jeffrey M. LeDue', 'Brian A. MacVicar', 'Jeffrey M. LeDue', 'Brian A. MacVicar']"
In vivo imaging reveals that pregabalin inhibits cortical spreading depression and propagation to subcortical brain structures,"['Terrance P. Snutch', 'Jeffrey M. LeDue', 'Brian A. MacVicar', 'Jeffrey M. LeDue', 'Terrance P. Snutch', 'Brian A. MacVicar', 'Terrance P. Snutch', 'Jeffrey M. LeDue', 'Brian A. MacVicar', 'Jeffrey M. LeDue', 'Terrance P. Snutch', 'Brian A. MacVicar']"
Ca<sup>2+</sup> transients in astrocyte fine processes occur via Ca<sup>2+</sup> influx in the adult mouse hippocampus,"['Jeffrey M. LeDue', 'Brian A. MacVicar', 'Jeffrey M. LeDue', 'Brian A. MacVicar']"
The cellular mechanisms of neuronal swelling underlying cytotoxic edema,"['Terrance P. Snutch', 'Brian A. MacVicar', 'Terrance P. Snutch', 'Brian A. MacVicar']"
Activation of neuronal NMDA receptors triggers transient ATP-mediated microglial process outgrowth,"['Jeffrey M. LeDue', 'Brian A. MacVicar', 'Jeffrey M. LeDue', 'Brian A. MacVicar']"
Cognitive flexibility and long-term depression (LTD) are impaired following β-catenin stabilization in vivo,"['Shernaz X. Bamji', 'YuTian Wang', 'YuTian Wang', 'Brian A. MacVicar', 'Shernaz X. Bamji', 'Brian A. MacVicar', 'Shernaz X. Bamji', 'YuTian Wang', 'YuTian Wang', 'Brian A. MacVicar', 'Shernaz X. Bamji', 'Brian A. MacVicar']"
Progranulin promotes activation of microglia/macrophage after pilocarpine-induced status epilepticus,"['YuTian Wang', 'Brian A. MacVicar', 'YuTian Wang', 'Brian A. MacVicar']"
"Prevention of LPS-Induced Microglia Activation, Cytokine Production and Sickness Behavior with TLR4 Receptor Interfering Peptides","['Anthony G. Phillips', 'Brian A. MacVicar', 'Anthony G. Phillips', 'Brian A. MacVicar']"
Contribution of calcium-dependent facilitation to synaptic plasticity revealed by migraine mutations in the P/Q-type calcium channel,"['Terrance P. Snutch', 'Brian A. MacVicar', 'Terrance P. Snutch', 'Brian A. MacVicar']"
Effects of intermittent theta-burst transcranial magnetic stimulation on cognition and hippocampal volumes in bipolar depression,"['Sophia Frangou', 'Fidel Vila-Rodriguez', 'Sophia Frangou', 'Fidel Vila-Rodriguez']"
Psychotic symptoms in frontotemporal dementia with TDP-43 tend to be associated with type B pathology,"['Ian Mackenzie', 'Fidel Vila-Rodriguez', 'Ian Mackenzie', 'Fidel Vila-Rodriguez']"
Intermittent theta burst transcranial magnetic stimulation induces hippocampal mossy fibre plasticity in male but not female mice,"['Jason S. Snyder', 'Fidel Vila-Rodriguez', 'Jason S. Snyder', 'Fidel Vila-Rodriguez']"
Predictive Value of Acute Neuroplastic Response to rTMS in Treatment Outcome in Depression: A Concurrent TMS-fMRI Trial,"['Sophia Frangou', 'Fidel Vila-Rodriguez', 'Sophia Frangou', 'Fidel Vila-Rodriguez']"
Individualized functional targeting for rTMS: A powerful idea whose time has come?,"['Sophia Frangou', 'Fidel Vila-Rodriguez', 'Sophia Frangou', 'Fidel Vila-Rodriguez']"
"Electroconvulsive shock, but not transcranial magnetic stimulation, transiently elevates cell proliferation in the adult mouse hippocampus","['Jason S. Snyder', 'Fidel Vila-Rodriguez', 'Jason S. Snyder', 'Fidel Vila-Rodriguez']"
Sex effects on cortical morphological networks in healthy young adults,"['Sophia Frangou', 'Fidel Vila-Rodriguez', 'Sophia Frangou', 'Fidel Vila-Rodriguez']"
"Psychiatric, motor, and autonomic effects of bifrontal ect in depressed parkinson’s disease patients","['Silke Appel-Cresswell', 'Fidel Vila-Rodriguez', 'Silke Appel-Cresswell', 'Fidel Vila-Rodriguez']"
SS-Detect: Development and Validation of a New Strategy for Source-Based Morphometry in Multiscanner Studies,"['Sophia Frangou', 'Fidel Vila-Rodriguez', 'Sophia Frangou', 'Fidel Vila-Rodriguez']"
Parcellation of the human hippocampus based on gray matter volume covariance: Replicable results on healthy young adults,"['Z. Jane Wang', 'Fidel Vila-Rodriguez', 'Z. Jane Wang', 'Fidel Vila-Rodriguez']"
CellPalmSeq: A curated RNAseq database of palmitoylating and de-palmitoylating enzyme expression in human cell types and laboratory cell lines,"['Kurt Haas', 'Shernaz X. Bamji', 'Kurt Haas', 'Shernaz X. Bamji']"
Exploring the expression patterns of palmitoylating and de-palmitoylating enzymes in the mouse brain using the curated RNA-seq database BrainPalmSeq,"['Kurt Haas', 'Shernaz X. Bamji', 'Kurt Haas', 'Shernaz X. Bamji']"
Regulation of hippocampal excitatory synapses by the Zdhhc5 palmitoyl acyltransferase,"['Lynn A. Raymond', 'Shernaz X. Bamji', 'Lynn A. Raymond', 'Shernaz X. Bamji']"
Multi-model functionalization of disease-associated PTEN missense mutations identifies multiple molecular mechanisms underlying protein dysfunction,"['Catharine Rankin', 'Paul Pavlidis', 'Kurt Haas', 'Shernaz X. Bamji', 'Catharine Rankin', 'Kurt Haas', 'Shernaz X. Bamji', 'Paul Pavlidis', 'Catharine Rankin', 'Shernaz X. Bamji', 'Paul Pavlidis', 'Kurt Haas', 'Catharine Rankin', 'Paul Pavlidis', 'Kurt Haas', 'Shernaz X. Bamji', 'Catharine Rankin', 'Kurt Haas', 'Shernaz X. Bamji', 'Paul Pavlidis', 'Catharine Rankin', 'Shernaz X. Bamji', 'Paul Pavlidis', 'Kurt Haas']"
The X-Linked Intellectual Disability Gene Zdhhc9 Is Essential for Dendrite Outgrowth and Inhibitory Synapse Formation,"['Terrance P. Snutch', 'Shernaz X. Bamji', 'Terrance P. Snutch', 'Shernaz X. Bamji']"
Cadherins mediate cocaine-induced synaptic plasticity and behavioral conditioning,"['Anthony G. Phillips', 'Shernaz X. Bamji', 'Anthony G. Phillips', 'Shernaz X. Bamji']"
Progranulin deficiency decreases gross neural connectivity but enhances transmission at individual synapses,"['Ian Mackenzie', 'Lynn A. Raymond', 'Shernaz X. Bamji', 'Lynn A. Raymond', 'Shernaz X. Bamji', 'Ian Mackenzie', 'Ian Mackenzie', 'Lynn A. Raymond', 'Shernaz X. Bamji', 'Lynn A. Raymond', 'Shernaz X. Bamji', 'Ian Mackenzie']"
"Reshaping the path of mild cognitive impairment by refining exercise prescription: a study protocol of a randomized controlled trial to understand the “what,” “for whom,” and “how” of exercise to promote cognitive function","['Liisa A. M. Galea', 'Lara A. Boyd', 'Liisa A. M. Galea', 'Lara A. Boyd']"
Exercise increases caudate dopamine release and ventral striatal activation in Parkinson's disease,"['Silke Appel-Cresswell', 'A. Jon Stoessl', 'Vesna Sossi', 'Martin McKeown', 'Silke Appel-Cresswell', 'A. Jon Stoessl', 'Lara A. Boyd', 'Vesna Sossi', 'Silke Appel-Cresswell', 'Vesna Sossi', 'Lara A. Boyd', 'Martin McKeown', 'A. Jon Stoessl', 'Lara A. Boyd', 'Vesna Sossi', 'Martin McKeown', 'Silke Appel-Cresswell', 'A. Jon Stoessl', 'Lara A. Boyd', 'Martin McKeown', 'Silke Appel-Cresswell', 'A. Jon Stoessl', 'Vesna Sossi', 'Martin McKeown', 'Silke Appel-Cresswell', 'A. Jon Stoessl', 'Lara A. Boyd', 'Vesna Sossi', 'Silke Appel-Cresswell', 'Vesna Sossi', 'Lara A. Boyd', 'Martin McKeown', 'A. Jon Stoessl', 'Lara A. Boyd', 'Vesna Sossi', 'Martin McKeown', 'Silke Appel-Cresswell', 'A. Jon Stoessl', 'Lara A. Boyd', 'Martin McKeown']"
White matter biomarkers associated with motor change in individuals with stroke: A continuous theta burst stimulation study,"['Todd Stephen Woodward', 'Lara A. Boyd', 'Todd Stephen Woodward', 'Lara A. Boyd']"
Compensatory motor network connectivity is associated with motor sequence learning after subcortical stroke,"['Todd Stephen Woodward', 'Lara A. Boyd', 'Todd Stephen Woodward', 'Lara A. Boyd']"
Greater Activation of Secondary Motor Areas Is Related to Less Arm Use After Stroke,"['Martin McKeown', 'Lara A. Boyd', 'Martin McKeown', 'Lara A. Boyd']"
Open science in play and in tension with patent protections,"['Jeffrey M. LeDue', 'Paul Pavlidis', 'Jeffrey M. LeDue', 'Paul Pavlidis']"
"Multi-parametric analysis of 57 SYNGAP1 variants reveal impacts on GTPase signaling, localization, and protein stability","['Kurt Haas', 'Paul Pavlidis', 'Kurt Haas', 'Paul Pavlidis']"
The Canadian Rare Diseases Models and Mechanisms (RDMM) Network: Connecting Understudied Genes to Model Organisms,"['Catharine Rankin', 'Paul Pavlidis', 'Catharine Rankin', 'Paul Pavlidis']"
Systematic phenomics analysis of autism-associated genes reveals parallel networks underlying reversible impairments in habituation,"['Catharine Rankin', 'Kurt Haas', 'Paul Pavlidis', 'Catharine Rankin', 'Paul Pavlidis', 'Kurt Haas', 'Catharine Rankin', 'Kurt Haas', 'Paul Pavlidis', 'Catharine Rankin', 'Paul Pavlidis', 'Kurt Haas']"
Automatic labeling of Parkinson's Disease gait videos with weak supervision,"['Z. Jane Wang', 'Martin McKeown', 'Z. Jane Wang', 'Martin McKeown']"
PA-Tran: Learning to Estimate 3D Hand Pose with Partial Annotation,"['Z. Jane Wang', 'Martin McKeown', 'Z. Jane Wang', 'Martin McKeown']"
Contrastive-enhanced Domain Generalization with Federated Learning,"['Z. Jane Wang', 'Martin McKeown', 'Z. Jane Wang', 'Martin McKeown']"
Atlas-guided parcellation: Individualized functionally-homogenous parcellation in cerebral cortex,"['Z. Jane Wang', 'Martin McKeown', 'Z. Jane Wang', 'Martin McKeown']"
Toward Open-World Electroencephalogram Decoding Via Deep Learning: A comprehensive survey,"['Z. Jane Wang', 'Martin McKeown', 'Z. Jane Wang', 'Martin McKeown']"
Spatiotemporal patterns of putaminal dopamine processing in Parkinson's disease: A multi-tracer positron emission tomography study,"['Vesna Sossi', 'Martin McKeown', 'Vesna Sossi', 'Martin McKeown']"
Galvanic Vestibular Stimulation: Data Analysis and Applications in Neurorehabilitation,"['Z. Jane Wang', 'Martin McKeown', 'Z. Jane Wang', 'Martin McKeown']"
Serotonergic System Impacts Levodopa Response in Early Parkinson's and Future Risk of Dyskinesia,"['A. Jon Stoessl', 'Vesna Sossi', 'Vesna Sossi', 'Martin McKeown', 'A. Jon Stoessl', 'Martin McKeown', 'A. Jon Stoessl', 'Vesna Sossi', 'Vesna Sossi', 'Martin McKeown', 'A. Jon Stoessl', 'Martin McKeown']"
Galvanic Vestibular Stimulation Improves Subnetwork Interactions in Parkinson's Disease,"['Z. Jane Wang', 'Martin McKeown', 'Z. Jane Wang', 'Martin McKeown']"
Structural Network Analysis Using Diffusion MRI Tractography in Parkinson's Disease and Correlations With Motor Impairment,"['Silke Appel-Cresswell', 'Martin McKeown', 'Silke Appel-Cresswell', 'Martin McKeown']"
Novel Regional Activity Representation with Constrained Canonical Correlation Analysis for Brain Connectivity Network Estimation,"['Z. Jane Wang', 'Martin McKeown', 'Z. Jane Wang', 'Martin McKeown']"
Both Stationary and Dynamic Functional Interhemispheric Connectivity Are Strongly Associated With Performance on Cognitive Tests in Multiple Sclerosis,"['Z. Jane Wang', 'Martin McKeown', 'Z. Jane Wang', 'Martin McKeown']"
Parkinson’s Disease Detection from fMRI-Derived Brainstem Regional Functional Connectivity Networks,"['Z. Jane Wang', 'Martin McKeown', 'Z. Jane Wang', 'Martin McKeown']"
"Novel data-driven, equation-free method captures spatio-temporal patterns of neurodegeneration in Parkinson's disease: Application of dynamic mode decomposition to PET","['A. Jon Stoessl', 'Vesna Sossi', 'Vesna Sossi', 'Martin McKeown', 'A. Jon Stoessl', 'Martin McKeown', 'A. Jon Stoessl', 'Vesna Sossi', 'Vesna Sossi', 'Martin McKeown', 'A. Jon Stoessl', 'Martin McKeown']"
Dopamine replacement remediates risk aversion in Parkinson's disease in a value-independent manner,"['Silke Appel-Cresswell', 'A. Jon Stoessl', 'Silke Appel-Cresswell', 'Martin McKeown', 'A. Jon Stoessl', 'Martin McKeown', 'Silke Appel-Cresswell', 'A. Jon Stoessl', 'Silke Appel-Cresswell', 'Martin McKeown', 'A. Jon Stoessl', 'Martin McKeown']"
Removal of Muscle Artifacts from the EEG: A Review and Recommendations,"['Z. Jane Wang', 'Martin McKeown', 'Z. Jane Wang', 'Martin McKeown']"
Dynamic Graph Theoretical Analysis of Functional Connectivity in Parkinson's Disease: The Importance of Fiedler Value,"['Z. Jane Wang', 'Martin McKeown', 'Z. Jane Wang', 'Martin McKeown']"
Parcellation of functional sub-regions from fMRI: A graph clustering based approach,"['Z. Jane Wang', 'Martin McKeown', 'Z. Jane Wang', 'Martin McKeown']"
Abnormal phase coupling in Parkinson’s disease and normalization effects of subthreshold vestibular stimulation,"['Z. Jane Wang', 'Martin McKeown', 'Z. Jane Wang', 'Martin McKeown']"
