,Last Name,First Name,Affiliation,Scopus Author ID,ORCID,Tags,Research Areas,Warnings
10,Beasley,Clare,The University of British Columbia,7102979717,0000-0001-5919-7838,Mental Health & Addictions,"Biochemistry, Genetics and Molecular Biology (all) - 18 publications;Neuroscience (all) - 49 publications;Medicine (all) - 52 publications;",
11,Boyd,Lara,The University of British Columbia,7101895712,,Brain Injury & Repair,Health Professions  (all) - 64 publications;Neuroscience (all) - 197 publications;Medicine (all) - 336 publications;,multiple profiles; 
12,Cashman,Neil,Djavad Mowafaghian Centre for Brain Health,16169124200,,Sensory Motor Systems & Movement Disorders,"Neuroscience (all) - 165 publications;Biochemistry, Genetics and Molecular Biology (all) - 194 publications;Medicine (all) - 240 publications;",multiple profiles; 
13,Cembrowski,Mark,Djavad Mowafaghian Centre for Brain Health,37036981000,,Learning Memory & Dementias,"Biochemistry, Genetics and Molecular Biology (all) - 14 publications;Neuroscience (all) - 18 publications;Medicine (all) - 19 publications;",
14,Chakrabarty,Trisha,"University of British Columbia, Faculty of Medicine",56521302100,,Mental Health & Addictions,Psychology (all) - 7 publications;Neuroscience (all) - 15 publications;Medicine (all) - 80 publications;,not affiliated with UBC
15,Ciernia,Annie,Djavad Mowafaghian Centre for Brain Health,55491054000,0000-0002-3406-3806,Brain Development & Neurodevelopmental Disorders,"Psychology (all) - 5 publications;Biochemistry, Genetics and Molecular Biology (all) - 14 publications;Neuroscience (all) - 26 publications;",multiple profiles; 
16,Clark,Luke,Djavad Mowafaghian Centre for Brain Health,56009858300,0000-0003-1103-2422,Mental Health & Addictions,Psychology (all) - 101 publications;Neuroscience (all) - 124 publications;Medicine (all) - 264 publications;,multiple profiles; 
17,Craig,Ann-Marie,Djavad Mowafaghian Centre for Brain Health,7201507943,,Brain Development & Neurodevelopmental Disorders,"Medicine (all) - 26 publications;Biochemistry, Genetics and Molecular Biology (all) - 78 publications;Neuroscience (all) - 88 publications;",multiple profiles; 
18,Cresswell,Silke,Djavad Mowafaghian Centre for Brain Health,36237882900,0000-0002-5986-1468,Sensory Motor Systems & Movement Disorders,Psychology (all) - 4 publications;Neuroscience (all) - 37 publications;Medicine (all) - 62 publications;,
19,Cripton,Peter ,The University of British Columbia,6603629883,,Brain Injury & Repair,"Biochemistry, Genetics and Molecular Biology (all) - 67 publications;Engineering (all) - 77 publications;Medicine (all) - 275 publications;",
20,Cynader,Max,Djavad Mowafaghian Centre for Brain Health,35576627400,,Learning Memory & Dementias,"Medicine (all) - 93 publications;Biochemistry, Genetics and Molecular Biology (all) - 206 publications;Neuroscience (all) - 287 publications;",
21,D'Arcy,Ryan ,HealthTech Connex Inc,7004268181,,Brain Injury & Repair,"Biochemistry, Genetics and Molecular Biology (all) - 15 publications;Neuroscience (all) - 80 publications;Medicine (all) - 101 publications;",multiple profiles; not affiliated with UBC
22,Diamond,Adele,"University of British Columbia, Faculty of Medicine",7102727063,0000-0002-1453-6434,Mental Health & Addictions,Medicine (all) - 31 publications;Neuroscience (all) - 39 publications;Psychology (all) - 78 publications;,not affiliated with UBC
23,Doudet,Doris,The University of British Columbia,7005866700,,Sensory Motor Systems & Movement Disorders,"Biochemistry, Genetics and Molecular Biology (all) - 59 publications;Neuroscience (all) - 112 publications;Medicine (all) - 130 publications;",
24,Emberson,Lauren,Princeton University,23004179900,,Brain Development & Neurodevelopmental Disorders,Neuroscience (all) - 30 publications;Psychology (all) - 31 publications;Medicine (all) - 39 publications;,not affiliated with UBC
25,Field,Thalia ,The University of British Columbia,8042510100,0000-0002-1176-0633,Brain Injury & Repair,Nursing (all) - 21 publications;Neuroscience (all) - 45 publications;Medicine (all) - 296 publications;,multiple profiles; 
26,Floresco,Stan ,Djavad Mowafaghian Centre for Brain Health,6701799130,0000-0002-5633-243X,Mental Health & Addictions,"Pharmacology, Toxicology and Pharmaceutics (all) - 47 publications;Medicine (all) - 90 publications;Neuroscience (all) - 152 publications;",
27,Foti,Dean,The University of British Columbia,7004625596,,Learning Memory & Dementias,Psychology (all) - 4 publications;Neuroscience (all) - 9 publications;Medicine (all) - 14 publications;,
28,Frangou,Sophia,"University of British Columbia, Faculty of Medicine",7004549374,,Mental Health & Addictions,Psychology (all) - 69 publications;Neuroscience (all) - 221 publications;Medicine (all) - 407 publications;,not affiliated with UBC
29,Galea,Liisa,University of Toronto,7004079043,0000-0003-2874-9972,Learning Memory & Dementias,"Biochemistry, Genetics and Molecular Biology (all) - 114 publications;Medicine (all) - 171 publications;Neuroscience (all) - 237 publications;",not affiliated with UBC
30,Giaschi,Debbie ,The University of British Columbia,6603734160,0000-0001-6526-0047,Sensory Motor Systems & Movement Disorders,Psychology (all) - 22 publications;Medicine (all) - 53 publications;Neuroscience (all) - 66 publications;,
31,Gibon,Julien,,57191035886,,Learning Memory & Dementias,"Neuroscience (all) - 15 publications;Medicine (all) - 18 publications;Biochemistry, Genetics and Molecular Biology (all) - 28 publications;",multiple profiles; not affiliated with UBC
32,Goldowitz,Daniel ,BC Children's Hospital Research Institute,7006144166,0000-0003-4756-4017,Brain Development & Neurodevelopmental Disorders,"Medicine (all) - 119 publications;Biochemistry, Genetics and Molecular Biology (all) - 166 publications;Neuroscience (all) - 181 publications;",multiple profiles; 
33,Gordon,Michael ,HonorHealth,7402801321,,Sensory Motor Systems & Movement Disorders,"Pharmacology, Toxicology and Pharmaceutics (all) - 52 publications;Biochemistry, Genetics and Molecular Biology (all) - 159 publications;Medicine (all) - 305 publications;",multiple profiles; not affiliated with UBC
34,Grunau,Ruth,Children's and Women's Health Centre of British Columbia,55666685100,0000-0002-5428-9212,Brain Development & Neurodevelopmental Disorders,Psychology (all) - 75 publications;Neuroscience (all) - 122 publications;Medicine (all) - 376 publications;,not affiliated with UBC
35,Haas,Kurt,Djavad Mowafaghian Centre for Brain Health,55554765000,,Brain Development & Neurodevelopmental Disorders,"Medicine (all) - 25 publications;Biochemistry, Genetics and Molecular Biology (all) - 44 publications;Neuroscience (all) - 51 publications;",multiple profiles; 
36,Hacihaliloglu,Ilker,The University of British Columbia,24467768400,,Brain Injury & Repair,Engineering (all) - 29 publications;Computer Science (all) - 85 publications;Medicine (all) - 89 publications;,
37,Abd-Elrahman,Khaled,University of Ottawa,36653563400,0000-0001-9724-1975,Learning Memory & Dementias,"Pharmacology, Toxicology and Pharmaceutics (all) - 16 publications;Biochemistry, Genetics and Molecular Biology (all) - 31 publications;Medicine (all) - 41 publications;",not affiliated with UBC
38,Allan,Douglas,Corning Incorporated,57194194854,,Brain Development & Neurodevelopmental Disorders,Engineering (all) - 25 publications;Materials Science (all) - 43 publications;Physics and Astronomy (all) - 75 publications;,multiple profiles; not affiliated with UBC
39,Auld,Vanessa,The University of British Columbia,7004622834,0000-0003-3976-9186,Brain Development & Neurodevelopmental Disorders,"Neuroscience (all) - 14 publications;Medicine (all) - 14 publications;Biochemistry, Genetics and Molecular Biology (all) - 66 publications;",
40,Austin,Jehannine,"University of British Columbia, Faculty of Medicine",7402093250,0000-0003-0338-7055,Mental Health & Addictions,"Neuroscience (all) - 37 publications;Biochemistry, Genetics and Molecular Biology (all) - 47 publications;Medicine (all) - 263 publications;",not affiliated with UBC
41,Babul,Shelina,BC Children's Hospital Research Institute,6506673405,0000-0002-0227-2574,Brain Injury & Repair,Social Sciences (all) - 8 publications;Health Professions  (all) - 11 publications;Medicine (all) - 95 publications;,multiple profiles; 
42,Bamji,Shernaz,Djavad Mowafaghian Centre for Brain Health,7005627810,,Brain Development & Neurodevelopmental Disorders,"Medicine (all) - 19 publications;Neuroscience (all) - 26 publications;Biochemistry, Genetics and Molecular Biology (all) - 37 publications;",
43,Barker,Phil,Trinity College Dublin,7402080513,,Learning Memory & Dementias,Health Professions  (all) - 22 publications;Medicine (all) - 85 publications;Nursing (all) - 157 publications;,multiple profiles; not affiliated with UBC
44,Barnes,Steven,David Geffen School of Medicine at UCLA,7202713458,,Mental Health & Addictions,"Medicine (all) - 29 publications;Neuroscience (all) - 60 publications;Biochemistry, Genetics and Molecular Biology (all) - 70 publications;",multiple profiles; not affiliated with UBC
45,Barr,Alasdair,The University of British Columbia,35474239200,0000-0002-3407-1574,Mental Health & Addictions,"Pharmacology, Toxicology and Pharmaceutics (all) - 67 publications;Neuroscience (all) - 122 publications;Medicine (all) - 295 publications;",
46,Barton,Jason,Bethel University,13612305800,,Sensory Motor Systems & Movement Disorders,Psychology (all) - 146 publications;Medicine (all) - 245 publications;Neuroscience (all) - 291 publications;,multiple profiles; not affiliated with UBC
47,Beasley,Clare,The University of British Columbia,7102979717,0000-0001-5919-7838,Mental Health & Addictions,"Biochemistry, Genetics and Molecular Biology (all) - 18 publications;Neuroscience (all) - 49 publications;Medicine (all) - 52 publications;",
48,Boyd,Lara,The University of British Columbia,7101895712,,Brain Injury & Repair,Health Professions  (all) - 64 publications;Neuroscience (all) - 197 publications;Medicine (all) - 336 publications;,multiple profiles; 
49,Cashman,Neil,Djavad Mowafaghian Centre for Brain Health,16169124200,,Sensory Motor Systems & Movement Disorders,"Neuroscience (all) - 165 publications;Biochemistry, Genetics and Molecular Biology (all) - 194 publications;Medicine (all) - 240 publications;",multiple profiles; 
50,Cembrowski,Mark,Djavad Mowafaghian Centre for Brain Health,37036981000,,Learning Memory & Dementias,"Biochemistry, Genetics and Molecular Biology (all) - 14 publications;Neuroscience (all) - 18 publications;Medicine (all) - 19 publications;",
51,Chakrabarty,Trisha,"University of British Columbia, Faculty of Medicine",56521302100,,Mental Health & Addictions,Psychology (all) - 7 publications;Neuroscience (all) - 15 publications;Medicine (all) - 80 publications;,not affiliated with UBC
52,Ciernia,Annie,Djavad Mowafaghian Centre for Brain Health,55491054000,0000-0002-3406-3806,Brain Development & Neurodevelopmental Disorders,"Psychology (all) - 5 publications;Biochemistry, Genetics and Molecular Biology (all) - 14 publications;Neuroscience (all) - 26 publications;",multiple profiles; 
53,Clark,Luke,Djavad Mowafaghian Centre for Brain Health,56009858300,0000-0003-1103-2422,Mental Health & Addictions,Psychology (all) - 101 publications;Neuroscience (all) - 124 publications;Medicine (all) - 264 publications;,multiple profiles; 
54,Craig,Ann-Marie,Djavad Mowafaghian Centre for Brain Health,7201507943,,Brain Development & Neurodevelopmental Disorders,"Medicine (all) - 26 publications;Biochemistry, Genetics and Molecular Biology (all) - 78 publications;Neuroscience (all) - 88 publications;",multiple profiles; 
55,Cresswell,Silke,Djavad Mowafaghian Centre for Brain Health,36237882900,0000-0002-5986-1468,Sensory Motor Systems & Movement Disorders,Psychology (all) - 4 publications;Neuroscience (all) - 37 publications;Medicine (all) - 62 publications;,
56,Cripton,Peter,The University of British Columbia,6603629883,,Brain Injury & Repair,"Biochemistry, Genetics and Molecular Biology (all) - 67 publications;Engineering (all) - 77 publications;Medicine (all) - 275 publications;",
57,Cynader,Max,Djavad Mowafaghian Centre for Brain Health,35576627400,,Learning Memory & Dementias,"Medicine (all) - 93 publications;Biochemistry, Genetics and Molecular Biology (all) - 206 publications;Neuroscience (all) - 287 publications;",
58,D'Arcy,Ryan,HealthTech Connex Inc,7004268181,,Brain Injury & Repair,"Biochemistry, Genetics and Molecular Biology (all) - 15 publications;Neuroscience (all) - 80 publications;Medicine (all) - 101 publications;",multiple profiles; not affiliated with UBC
59,Diamond,Adele,"University of British Columbia, Faculty of Medicine",7102727063,0000-0002-1453-6434,Mental Health & Addictions,Medicine (all) - 31 publications;Neuroscience (all) - 39 publications;Psychology (all) - 78 publications;,not affiliated with UBC
60,Doudet,Doris,The University of British Columbia,7005866700,,Sensory Motor Systems & Movement Disorders,"Biochemistry, Genetics and Molecular Biology (all) - 59 publications;Neuroscience (all) - 112 publications;Medicine (all) - 130 publications;",
61,Emberson,Lauren,Princeton University,23004179900,,Brain Development & Neurodevelopmental Disorders,Neuroscience (all) - 30 publications;Psychology (all) - 31 publications;Medicine (all) - 39 publications;,not affiliated with UBC
62,Field,Thalia,The University of British Columbia,8042510100,0000-0002-1176-0633,Brain Injury & Repair,Nursing (all) - 21 publications;Neuroscience (all) - 45 publications;Medicine (all) - 296 publications;,multiple profiles; 
63,Floresco,Stan,Djavad Mowafaghian Centre for Brain Health,6701799130,0000-0002-5633-243X,Mental Health & Addictions,"Pharmacology, Toxicology and Pharmaceutics (all) - 47 publications;Medicine (all) - 90 publications;Neuroscience (all) - 152 publications;",
64,Foti,Dean,The University of British Columbia,7004625596,,Learning Memory & Dementias,Psychology (all) - 4 publications;Neuroscience (all) - 9 publications;Medicine (all) - 14 publications;,
65,Frangou,Sophia,"University of British Columbia, Faculty of Medicine",7004549374,,Mental Health & Addictions,Psychology (all) - 69 publications;Neuroscience (all) - 221 publications;Medicine (all) - 407 publications;,not affiliated with UBC
66,Galea,Liisa,University of Toronto,7004079043,0000-0003-2874-9972,Learning Memory & Dementias,"Biochemistry, Genetics and Molecular Biology (all) - 114 publications;Medicine (all) - 171 publications;Neuroscience (all) - 237 publications;",not affiliated with UBC
67,Giaschi,Debbie,The University of British Columbia,6603734160,0000-0001-6526-0047,Sensory Motor Systems & Movement Disorders,Psychology (all) - 22 publications;Medicine (all) - 53 publications;Neuroscience (all) - 66 publications;,
68,Gibon,Julien,,57191035886,,Learning Memory & Dementias,"Neuroscience (all) - 15 publications;Medicine (all) - 18 publications;Biochemistry, Genetics and Molecular Biology (all) - 28 publications;",multiple profiles; not affiliated with UBC
69,Goldowitz,Daniel,BC Children's Hospital Research Institute,7006144166,0000-0003-4756-4017,Brain Development & Neurodevelopmental Disorders,"Medicine (all) - 119 publications;Biochemistry, Genetics and Molecular Biology (all) - 166 publications;Neuroscience (all) - 181 publications;",multiple profiles; 
70,Gordon,Michael,HonorHealth,7402801321,,Sensory Motor Systems & Movement Disorders,"Pharmacology, Toxicology and Pharmaceutics (all) - 52 publications;Biochemistry, Genetics and Molecular Biology (all) - 159 publications;Medicine (all) - 305 publications;",multiple profiles; not affiliated with UBC
71,Grunau,Ruth,Children's and Women's Health Centre of British Columbia,55666685100,0000-0002-5428-9212,Brain Development & Neurodevelopmental Disorders,Psychology (all) - 75 publications;Neuroscience (all) - 122 publications;Medicine (all) - 376 publications;,not affiliated with UBC
72,Haas,Kurt,Djavad Mowafaghian Centre for Brain Health,55554765000,,Brain Development & Neurodevelopmental Disorders,"Medicine (all) - 25 publications;Biochemistry, Genetics and Molecular Biology (all) - 44 publications;Neuroscience (all) - 51 publications;",multiple profiles; 
73,Hacihaliloglu,Ilker,The University of British Columbia,24467768400,,Brain Injury & Repair,Engineering (all) - 29 publications;Computer Science (all) - 85 publications;Medicine (all) - 89 publications;,
74,Hariri,Amani,Stanford University School of Medicine,55659996000,,Mental Health & Addictions,Engineering (all) - 7 publications;Chemistry (all) - 8 publications;Physics and Astronomy (all) - 9 publications;,multiple profiles; not affiliated with UBC
75,Hayden,Sherri,The University of British Columbia,7005268846,,Learning Memory & Dementias,Neuroscience (all) - 7 publications;Psychology (all) - 11 publications;Medicine (all) - 22 publications;,
76,Herdman,Anthony,"University of British Columbia, Faculty of Medicine",6603313142,0000-0001-7501-1319,Sensory Motor Systems & Movement Disorders,Psychology (all) - 12 publications;Medicine (all) - 45 publications;Neuroscience (all) - 52 publications;,not affiliated with UBC
77,Hilton,Brett,Deutsches Zentrum für Neurodegenerative Erkrankungen e.V.,55148461400,,Brain Injury & Repair,"Biochemistry, Genetics and Molecular Biology (all) - 8 publications;Medicine (all) - 12 publications;Neuroscience (all) - 16 publications;",multiple profiles; not affiliated with UBC
78,Hsiung,Robin,"The University of British Columbia, Department of Medicine",7005203713,0000-0002-8017-0856,Learning Memory & Dementias,"Biochemistry, Genetics and Molecular Biology (all) - 45 publications;Neuroscience (all) - 137 publications;Medicine (all) - 345 publications;",multiple profiles; not affiliated with UBC
79,Huan,Tao,The University of British Columbia,55633182300,0000-0001-6295-2435,Brain Development & Neurodevelopmental Disorders,"Chemistry (all) - 56 publications;Biochemistry, Genetics and Molecular Biology (all) - 59 publications;Medicine (all) - 61 publications;",multiple profiles; 
80,Illes,Judy,The University of British Columbia,7003845298,,Brain Injury & Repair,"Biochemistry, Genetics and Molecular Biology (all) - 67 publications;Neuroscience (all) - 138 publications;Medicine (all) - 287 publications;",
81,Im,Hee Yeon,The University of British Columbia,26434708900,0000-0001-9379-1347,Brain Development & Neurodevelopmental Disorders,Psychology (all) - 15 publications;Medicine (all) - 15 publications;Neuroscience (all) - 17 publications;,multiple profiles; 
82,Jefferies,Wilfred,Vancouver General Hospital,7005219431,,Learning Memory & Dementias,"Immunology and Microbiology (all) - 73 publications;Biochemistry, Genetics and Molecular Biology (all) - 75 publications;Medicine (all) - 84 publications;",not affiliated with UBC
83,Keramatian,Kamyar,"University of British Columbia, Faculty of Medicine",14060234300,,Mental Health & Addictions,Psychology (all) - 4 publications;Neuroscience (all) - 14 publications;Medicine (all) - 46 publications;,not affiliated with UBC
84,Kolind,Shannon,The University of British Columbia,13104405000,,Sensory Motor Systems & Movement Disorders,"Biochemistry, Genetics and Molecular Biology (all) - 24 publications;Neuroscience (all) - 56 publications;Medicine (all) - 153 publications;",
85,Kozlowski,Piotr,New York State Institute for Basic Research in Developmental Disabilities,57215729204,,Sensory Motor Systems & Movement Disorders,"Biochemistry, Genetics and Molecular Biology (all) - 19 publications;Neuroscience (all) - 53 publications;Medicine (all) - 202 publications;",multiple profiles; not affiliated with UBC
86,Kramer,John,Agriculture and Agri-Food Canada,7402417493,,Sensory Motor Systems & Movement Disorders,"Medicine (all) - 68 publications;Agricultural and Biological Sciences (all) - 170 publications;Biochemistry, Genetics and Molecular Biology (all) - 214 publications;",multiple profiles; not affiliated with UBC
87,Kraeutner,Sarah,University of British Columbia Okanagan,56289658200,0000-0002-6552-6682,Brain Injury & Repair,Psychology (all) - 14 publications;Neuroscience (all) - 26 publications;Medicine (all) - 28 publications;,not affiliated with UBC
88,Krieger,Charles,Simon Fraser University,7004476406,,Sensory Motor Systems & Movement Disorders,"Medicine (all) - 50 publications;Biochemistry, Genetics and Molecular Biology (all) - 53 publications;Neuroscience (all) - 104 publications;",multiple profiles; not affiliated with UBC
89,Kumar,Ujendra,The University of British Columbia,7102636323,,Learning Memory & Dementias,"Neuroscience (all) - 45 publications;Medicine (all) - 83 publications;Biochemistry, Genetics and Molecular Biology (all) - 132 publications;",multiple profiles; 
90,Lam,Raymond,The University of British Columbia,21742966400,0000-0001-7142-4669,Mental Health & Addictions,Psychology (all) - 130 publications;Neuroscience (all) - 198 publications;Medicine (all) - 683 publications;,multiple profiles; 
91,Lang,Donna,Centre for Addiction and Mental Health,7202377295,0000-0001-9373-1555,Mental Health & Addictions,Psychology (all) - 19 publications;Neuroscience (all) - 65 publications;Medicine (all) - 128 publications;,not affiliated with UBC
92,Laule,Cornelia,The University of British Columbia,6505982349,,Sensory Motor Systems & Movement Disorders,"Biochemistry, Genetics and Molecular Biology (all) - 29 publications;Neuroscience (all) - 64 publications;Medicine (all) - 165 publications;",
93,Leavitt,Blair,BC Children's Hospital Research Institute,7005869634,,Sensory Motor Systems & Movement Disorders,"Biochemistry, Genetics and Molecular Biology (all) - 125 publications;Neuroscience (all) - 167 publications;Medicine (all) - 259 publications;",multiple profiles; 
94,Leitch,Duncan,The University of British Columbia,26653630000,0000-0002-8513-888X,Sensory Motor Systems & Movement Disorders,"Biochemistry, Genetics and Molecular Biology (all) - 7 publications;Medicine (all) - 8 publications;Neuroscience (all) - 11 publications;",multiple profiles; 
95,Li,David,The University of British Columbia,7405320868,,Sensory Motor Systems & Movement Disorders,Health Professions  (all) - 38 publications;Neuroscience (all) - 93 publications;Medicine (all) - 214 publications;,multiple profiles; 
96,Liu-Ambrose,Teresa,Centre for Hip Health and Mobility,6603112417,0000-0002-8297-5308,Brain Injury & Repair,"Neuroscience (all) - 97 publications;Biochemistry, Genetics and Molecular Biology (all) - 100 publications;Medicine (all) - 439 publications;",not affiliated with UBC
97,Mackenzie,Ian,"University of British Columbia, Faculty of Medicine",16407421900,,Learning Memory & Dementias,"Biochemistry, Genetics and Molecular Biology (all) - 91 publications;Neuroscience (all) - 231 publications;Medicine (all) - 485 publications;",multiple profiles; not affiliated with UBC
98,MacVicar,Brian,Djavad Mowafaghian Centre for Brain Health,7006717711,0000-0003-4596-4623,Brain Injury & Repair,"Medicine (all) - 82 publications;Biochemistry, Genetics and Molecular Biology (all) - 96 publications;Neuroscience (all) - 168 publications;",
99,Madhav,Manu,The University of British Columbia,35146488900,,Learning Memory & Dementias,"Neuroscience (all) - 8 publications;Biochemistry, Genetics and Molecular Biology (all) - 9 publications;Agricultural and Biological Sciences (all) - 14 publications;",multiple profiles; 
100,Matsubara,Joanne,The University of British Columbia,7006759777,,Sensory Motor Systems & Movement Disorders,"Biochemistry, Genetics and Molecular Biology (all) - 41 publications;Neuroscience (all) - 99 publications;Medicine (all) - 119 publications;",multiple profiles; 
101,Matthews,Benjamin,USDA ARS Beltsville Agricultural Research Center,7202894929,,Sensory Motor Systems & Movement Disorders,"Medicine (all) - 19 publications;Agricultural and Biological Sciences (all) - 81 publications;Biochemistry, Genetics and Molecular Biology (all) - 135 publications;",multiple profiles; not affiliated with UBC
102,McKeown,Martin,Djavad Mowafaghian Centre for Brain Health,7005375626,0000-0002-4048-0817,Sensory Motor Systems & Movement Disorders,Neuroscience (all) - 128 publications;Computer Science (all) - 164 publications;Medicine (all) - 198 publications;,
103,Michalak,Erin,"University of British Columbia, Faculty of Medicine",7006410152,,Mental Health & Addictions,Neuroscience (all) - 35 publications;Psychology (all) - 51 publications;Medicine (all) - 212 publications;,multiple profiles; not affiliated with UBC
104,Miller,Freda,Hospital for Sick Children University of Toronto,7401771256,,Brain Development & Neurodevelopmental Disorders,"Medicine (all) - 60 publications;Neuroscience (all) - 108 publications;Biochemistry, Genetics and Molecular Biology (all) - 250 publications;",multiple profiles; not affiliated with UBC
105,Miller,Steven,"University of Utah, College Of Science",7501604048,,Brain Injury & Repair,Physics and Astronomy (all) - 167 publications;Materials Science (all) - 305 publications;Chemistry (all) - 511 publications;,multiple profiles; not affiliated with UBC
106,Mizumoto,Kota,The University of British Columbia,15834999500,,Sensory Motor Systems & Movement Disorders,"Neuroscience (all) - 9 publications;Medicine (all) - 15 publications;Biochemistry, Genetics and Molecular Biology (all) - 27 publications;",
107,Molday,Robert,The University of British Columbia,7005847836,,Sensory Motor Systems & Movement Disorders,"Neuroscience (all) - 51 publications;Medicine (all) - 110 publications;Biochemistry, Genetics and Molecular Biology (all) - 310 publications;",multiple profiles; 
108,Moukhles,Hakima,The University of British Columbia,6603648444,,Brain Injury & Repair,"Medicine (all) - 7 publications;Biochemistry, Genetics and Molecular Biology (all) - 19 publications;Neuroscience (all) - 21 publications;",
109,Moritz,Orson,The University of British Columbia,6701581292,0000-0002-6183-6499,Sensory Motor Systems & Movement Disorders,"Medicine (all) - 24 publications;Neuroscience (all) - 30 publications;Biochemistry, Genetics and Molecular Biology (all) - 46 publications;",
110,Murphy,Tim,Jacobs School of Medicine and Biomedical Sciences,7401632437,0000-0002-3496-2641,Brain Injury & Repair,"Biochemistry, Genetics and Molecular Biology (all) - 56 publications;Immunology and Microbiology (all) - 199 publications;Medicine (all) - 301 publications;",multiple profiles; not affiliated with UBC
111,Nygaard,Haakon,Djavad Mowafaghian Centre for Brain Health,26039391300,,Learning Memory & Dementias,"Biochemistry, Genetics and Molecular Biology (all) - 10 publications;Neuroscience (all) - 28 publications;Medicine (all) - 52 publications;",
112,O'Connor,Timothy,City of Hope National Med Center,7402142570,0000-0001-5848-3592,Brain Development & Neurodevelopmental Disorders,"Chemistry (all) - 15 publications;Medicine (all) - 30 publications;Biochemistry, Genetics and Molecular Biology (all) - 164 publications;",multiple profiles; not affiliated with UBC
113,Oger,Joel,The University of British Columbia,16936616300,,Sensory Motor Systems & Movement Disorders,"Biochemistry, Genetics and Molecular Biology (all) - 53 publications;Neuroscience (all) - 107 publications;Medicine (all) - 212 publications;",multiple profiles; 
114,Oruc,Ipek,"University of British Columbia, Faculty of Medicine",23089215400,,Sensory Motor Systems & Movement Disorders,Psychology (all) - 25 publications;Medicine (all) - 37 publications;Neuroscience (all) - 42 publications;,multiple profiles; not affiliated with UBC
115,Palombo,Daniela,The University of British Columbia,35732198900,,Learning Memory & Dementias,Medicine (all) - 55 publications;Psychology (all) - 61 publications;Neuroscience (all) - 62 publications;,
116,Panenka,William,The University of British Columbia,55305981100,0000-0001-7143-6512,Brain Injury & Repair,Psychology (all) - 23 publications;Neuroscience (all) - 30 publications;Medicine (all) - 141 publications;,multiple profiles; 
117,Pavlidis,Paul,Michael Smith Laboratories,7004159655,0000-0002-0426-5028,Brain Development & Neurodevelopmental Disorders,"Neuroscience (all) - 59 publications;Medicine (all) - 114 publications;Biochemistry, Genetics and Molecular Biology (all) - 157 publications;",multiple profiles; not affiliated with UBC
118,Pelech,Steven,"University of British Columbia, Faculty of Medicine",19435899100,,Learning Memory & Dementias,"Neuroscience (all) - 47 publications;Medicine (all) - 89 publications;Biochemistry, Genetics and Molecular Biology (all) - 427 publications;",multiple profiles; not affiliated with UBC
119,Phillips,Anthony,"University of British Columbia, Faculty of Medicine",7401658611,,Mental Health & Addictions,"Biochemistry, Genetics and Molecular Biology (all) - 140 publications;Pharmacology, Toxicology and Pharmaceutics (all) - 160 publications;Neuroscience (all) - 322 publications;",multiple profiles; not affiliated with UBC
