,Name,Scopus ID,Document Count,Cited by,Coauthors,Affiliation
14, Todd Stephen Woodward,7102848867,184,8433,"{' Lara A. Boyd': 2, ' Jeremy Keith Seamans': 1, ' Anthony G. Phillips': 1}","University of British Columbia, Faculty of Medicine"
15, Andy Y. Shih,9239638800,73,5640,{' Timothy H. Murphy': 9},Department of Pediatrics
16, Wolfram G. Tetzlaff,7006262846,206,16322,"{' Angela Jane I. Roskams': 9, ' P. A. Cripton': 6, ' Timothy H. Murphy': 2, ' Fabio Rossi': 1}",Department of Zoology
17, Paul Pavlidis,7004159655,158,11957,"{' Kurt Haas': 3, ' Shernaz X. Bamji': 1, ' Catharine Rankin': 3}",Michael Smith Laboratories
18, Timothy H. Murphy,7401632487,185,14731,"{' Lynn A. Raymond': 17, ' Helge Rhodin': 3, ' Brian A. MacVicar': 2, ' YuTian Wang': 4, ' Wolfram G. Tetzlaff': 2, ' Craig E. Brown': 6, ' Andy Y. Shih': 9, ' Terrance P. Snutch': 1}",Kinsmen Laboratory of Neurological Research
19, Catharine Rankin,7007032941,111,4487,"{' Shernaz X. Bamji': 1, ' Kurt Haas': 2, ' Paul Pavlidis': 3, ' YuTian Wang': 1}",Djavad Mowafaghian Centre for Brain Health
20, Peyman Servati,6701751588,137,3368,"{' Z. Jane Wang': 1, ' Martin McKeown': 1}",Department of Electrical & Computer Engineering
21, Brian A. MacVicar,7006717711,167,15459,"{' Silke Appel-Cresswell': 1, ' Terrance P. Snutch': 5, ' Timothy H. Murphy': 2, ' Leigh Anne Swayne': 1, ' Shernaz X. Bamji': 1, ' YuTian Wang': 2, ' Anthony G. Phillips': 1}",Djavad Mowafaghian Centre for Brain Health
22, Lynn A. Raymond,7102737545,153,17600,"{' Timothy H. Murphy': 17, ' Shernaz X. Bamji': 2, ' YuTian Wang': 2, ' Ian Mackenzie': 2}",Department of Psychiatry
23, Eric T. Shea-Brown,15065850600,82,4264,{' Adrienne L. Fairhall': 3},Department of Applied Mathematics
24, Silke Appel-Cresswell,36237882900,46,2909,"{' Brian A. MacVicar': 1, ' Fidel Vila-Rodriguez': 1, ' Martin McKeown': 14, ' A. Jon Stoessl': 14, ' Lara A. Boyd': 1, ' Z. Jane Wang': 2}",Djavad Mowafaghian Centre for Brain Health
25, Anthony G. Phillips,7401658611,307,22525,"{' Terrance P. Snutch': 3, ' Jeremy Keith Seamans': 15, ' YuTian Wang': 14, ' Shernaz X. Bamji': 1, ' Brian A. MacVicar': 1, ' Z. Jane Wang': 1, ' A. Jon Stoessl': 2, ' Todd Stephen Woodward': 1}","University of British Columbia, Faculty of Medicine"
26, Jason S. Snyder,28167863900,37,4126,{' Fidel Vila-Rodriguez': 2},Department of Psychology
27, Adrienne L. Fairhall,6602928622,69,3823,{' Eric T. Shea-Brown': 3},University of Washington
28, Brian Fisher,56363838400,96,1488,{},Simon Fraser University
29, Leigh Anne Swayne,7004454250,53,1349,"{' Brian A. MacVicar': 1, ' Craig E. Brown': 1}",Division of Medical Sciences
30, Mark S. Cembrowski,37036981000,24,1238,{},Djavad Mowafaghian Centre for Brain Health
31, Annie Vogel Ciernia,55491054000,28,1365,{},Djavad Mowafaghian Centre for Brain Health
32, Kurt Haas,55554765000,55,2635,"{' Shernaz X. Bamji': 3, ' Paul Pavlidis': 3, ' Catharine Rankin': 2}",Djavad Mowafaghian Centre for Brain Health
33, Craig E. Brown,7408311558,38,2024,"{' Leigh Anne Swayne': 1, ' Timothy H. Murphy': 6}",Department of Psychiatry
34, Michael D. Gordon,7402800449,29,2854,{},Department of Zoology and Life Sciences Institute
35, Shernaz X. Bamji,7005627810,44,3569,"{' Kurt Haas': 3, ' Lynn A. Raymond': 2, ' Paul Pavlidis': 1, ' Catharine Rankin': 1, ' Terrance P. Snutch': 1, ' Anthony G. Phillips': 1, ' Brian A. MacVicar': 1, ' YuTian Wang': 1, ' Ian Mackenzie': 1}",Department of Cellular and Physiological Sciences
36, Jeremy Keith Seamans,7003907622,70,10507,"{' Anthony G. Phillips': 15, ' YuTian Wang': 1, ' Todd Stephen Woodward': 1}",Djavad Mowafaghian Centre for Brain Health
37, Manu S. Madhav,35146488900,13,239,{},Biomedical Engineering
38, Emily Lauren Sylwestrak,26634611400,10,1308,{},Department of Biology
39, Catharine A. Winstanley,7005018303,74,7078,{},Department of Psychology
40, Angela Jane I. Roskams,55889287500,60,4467,{' Wolfram G. Tetzlaff': 9},Life Sciences Centre and Center for Brain Health
